Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,32.950001,33.139999,32.849998,33.099998,660300,33.099998
2016-10-20,32.790001,33.18,32.560001,32.990002,2329800,32.990002
2016-10-19,33.099998,33.25,33.009998,33.060001,651600,33.060001
2016-10-18,33.560001,33.57,33.299999,33.389999,549400,33.389999
2016-10-17,32.380001,32.790001,32.369999,32.689999,639500,32.689999
2016-10-14,32.57,32.82,32.52,32.52,1007900,32.52
2016-10-13,32.02,32.549999,31.940001,32.439999,1493300,32.439999
2016-10-12,32.419998,32.59,32.27,32.48,1137100,32.48
2016-10-11,33.189999,33.209999,32.560001,32.740002,739700,32.740002
2016-10-10,33.299999,33.720001,33.299999,33.599998,744700,33.599998
2016-10-07,33.349998,33.400002,32.830002,32.93,655200,32.93
2016-10-06,33.48,33.630001,33.32,33.599998,1424100,33.599998
2016-10-05,33.68,33.740002,33.470001,33.490002,662000,33.490002
2016-10-04,34.18,34.200001,33.650002,33.720001,1717800,33.720001
2016-10-03,33.189999,33.369999,32.880001,33.029999,384700,33.029999
2016-09-30,33.27,33.450001,33.060001,33.27,1457800,33.27
2016-09-29,33.360001,33.450001,32.830002,33.029999,1307800,33.029999
2016-09-28,33.639999,33.68,33.240002,33.529999,2373600,33.529999
2016-09-27,32.630001,33.110001,32.57,33.060001,645000,33.060001
2016-09-26,33.23,33.27,33.07,33.110001,872900,33.110001
2016-09-23,33.459999,33.790001,33.450001,33.540001,816500,33.540001
2016-09-22,33.93,34.02,33.549999,33.619999,1196500,33.619999
2016-09-21,32.82,32.98,32.560001,32.970001,1334900,32.970001
2016-09-20,32.950001,33.02,32.529999,32.610001,1262400,32.610001
2016-09-19,32.880001,32.880001,32.439999,32.549999,1916800,32.549999
2016-09-16,33.23,33.25,32.130001,32.139999,3140800,32.139999
2016-09-15,33.189999,33.439999,32.91,33.43,5626400,33.43
2016-09-14,33.09,33.209999,32.880001,32.939999,1823600,32.939999
2016-09-13,32.939999,33.040001,32.57,32.689999,1425300,32.689999
2016-09-12,32.369999,33.110001,32.34,33.09,1709600,33.09
2016-09-09,33.080002,33.099998,32.25,32.32,2026300,32.32
2016-09-08,34.09,34.18,33.490002,33.490002,954600,33.490002
2016-09-07,34.009998,34.049999,33.790001,34.00,1647000,34.00
2016-09-06,34.25,34.279999,33.939999,34.040001,2063500,33.831002
2016-09-02,33.889999,34.060001,33.68,33.889999,1248400,33.681921
2016-09-01,33.52,33.869999,33.450001,33.82,513300,33.612351
2016-08-31,33.52,33.869999,33.43,33.799999,1068800,33.592473
2016-08-30,33.93,33.959999,33.700001,33.849998,916800,33.642166
2016-08-29,33.68,34.139999,33.580002,33.91,637800,33.701799
2016-08-26,33.950001,34.029999,33.029999,33.240002,1594300,33.035914
2016-08-25,33.919998,33.919998,33.560001,33.560001,1903800,33.353949
2016-08-24,32.970001,33.099998,32.779999,32.939999,742900,32.737753
2016-08-23,33.240002,33.419998,33.18,33.18,750400,32.976281
2016-08-22,32.84,33.349998,32.759998,33.32,718500,33.115421
2016-08-19,32.98,33.290001,32.919998,33.099998,756200,32.896771
2016-08-18,33.50,33.700001,33.290001,33.700001,755300,33.493089
2016-08-17,33.59,33.630001,33.150002,33.459999,1635900,33.254561
2016-08-16,32.580002,33.009998,32.560001,32.880001,677900,32.678124
2016-08-15,32.23,32.330002,32.150002,32.18,372300,31.982421
2016-08-12,31.98,32.029999,31.780001,31.809999,779300,31.614692
2016-08-11,31.51,31.66,31.42,31.440001,1114100,31.246965
2016-08-10,31.360001,31.389999,31.190001,31.34,889700,31.147578
2016-08-09,30.709999,31.15,30.700001,31.01,350900,30.819605
2016-08-08,30.51,30.700001,30.51,30.68,307900,30.491631
2016-08-05,30.16,30.450001,30.15,30.370001,325500,30.183535
2016-08-04,29.959999,30.110001,29.82,30.059999,509800,29.875437
2016-08-03,30.01,30.18,30.00,30.16,947800,29.974823
2016-08-02,30.280001,30.33,30.07,30.219999,418300,30.034454
2016-08-01,30.540001,30.620001,30.23,30.33,412200,30.143779
2016-07-29,30.73,30.98,30.42,30.76,542200,30.57114
2016-07-28,30.52,30.549999,30.190001,30.360001,413300,30.173596
2016-07-27,30.33,30.48,30.190001,30.35,472200,30.163657
2016-07-26,29.889999,29.98,29.639999,29.93,361300,29.746236
2016-07-25,29.639999,29.82,29.639999,29.77,288500,29.587218
2016-07-22,30.00,30.10,29.75,29.77,678600,29.587218
