Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,3.32,3.34,3.32,3.33,224700,3.33
2016-10-20,3.35,3.36,3.35,3.35,79300,3.35
2016-10-19,3.33,3.36,3.33,3.36,118500,3.36
2016-10-18,3.34,3.35,3.33,3.34,98300,3.34
2016-10-17,3.35,3.37,3.32,3.33,221400,3.33
2016-10-14,3.35,3.37,3.35,3.36,46600,3.36
2016-10-13,3.35,3.37,3.35,3.36,90800,3.36
2016-10-12,3.37,3.38,3.36,3.38,88100,3.38
2016-10-11,3.40,3.41,3.38,3.38,138200,3.353
2016-10-10,3.38,3.41,3.38,3.41,74000,3.38276
2016-10-07,3.39,3.39,3.38,3.38,135100,3.353
2016-10-06,3.39,3.40,3.36,3.39,227200,3.36292
2016-10-05,3.40,3.41,3.39,3.40,135700,3.37284
2016-10-04,3.41,3.42,3.39,3.40,211200,3.37284
2016-10-03,3.41,3.42,3.40,3.42,172100,3.392681
2016-09-30,3.40,3.42,3.40,3.42,153100,3.392681
2016-09-29,3.42,3.43,3.41,3.41,143200,3.38276
2016-09-28,3.41,3.42,3.40,3.41,113000,3.38276
2016-09-27,3.39,3.40,3.39,3.39,80500,3.36292
2016-09-26,3.38,3.43,3.38,3.39,455800,3.36292
2016-09-23,3.42,3.43,3.40,3.41,195100,3.38276
2016-09-22,3.41,3.43,3.39,3.42,289300,3.392681
2016-09-21,3.36,3.41,3.36,3.39,264200,3.36292
2016-09-20,3.36,3.39,3.35,3.36,221000,3.33316
2016-09-19,3.38,3.39,3.35,3.35,207500,3.32324
2016-09-16,3.36,3.39,3.36,3.37,167000,3.34308
2016-09-15,3.36,3.39,3.35,3.37,442600,3.34308
2016-09-14,3.35,3.38,3.33,3.36,396700,3.33316
2016-09-13,3.38,3.40,3.33,3.33,642000,3.303399
2016-09-12,3.40,3.42,3.31,3.39,1365100,3.36292
2016-09-09,3.56,3.58,3.46,3.47,609200,3.415497
2016-09-08,3.58,3.59,3.56,3.57,195000,3.513926
2016-09-07,3.56,3.60,3.56,3.57,146300,3.513926
2016-09-06,3.55,3.58,3.55,3.56,119600,3.504083
2016-09-02,3.56,3.58,3.55,3.57,120400,3.513926
2016-09-01,3.56,3.56,3.54,3.56,186600,3.504083
2016-08-31,3.54,3.57,3.53,3.54,139600,3.484397
2016-08-30,3.54,3.55,3.53,3.54,132200,3.484397
2016-08-29,3.53,3.56,3.52,3.52,223600,3.464711
2016-08-26,3.52,3.56,3.51,3.52,192300,3.464711
2016-08-25,3.50,3.53,3.48,3.52,213800,3.464711
2016-08-24,3.49,3.53,3.48,3.48,195400,3.42534
2016-08-23,3.49,3.54,3.48,3.51,412300,3.454868
2016-08-22,3.44,3.49,3.44,3.48,180900,3.42534
2016-08-19,3.44,3.46,3.44,3.46,114100,3.405654
2016-08-18,3.48,3.48,3.45,3.46,111100,3.405654
2016-08-17,3.47,3.47,3.45,3.47,73400,3.415497
2016-08-16,3.47,3.47,3.45,3.45,83100,3.395811
2016-08-15,3.44,3.47,3.43,3.47,99200,3.415497
2016-08-12,3.42,3.46,3.42,3.44,151500,3.385968
2016-08-11,3.43,3.43,3.42,3.42,128600,3.366282
2016-08-10,3.43,3.43,3.41,3.43,182600,3.376125
