Date,Open,High,Low,Close,Volume,Adj Close
2016-10-18,24.85,24.99,24.75,24.860001,80600,24.860001
2016-10-17,24.66,24.879999,24.58,24.83,104100,24.83
2016-10-14,24.610001,24.68,24.49,24.68,77000,24.68
2016-10-13,24.540001,24.639999,24.299999,24.52,88200,24.52
2016-10-12,24.530001,24.59,24.43,24.58,68500,24.58
2016-10-11,24.33,24.450001,24.25,24.450001,35300,24.450001
2016-10-10,24.559999,24.559999,24.379999,24.41,29700,24.41
2016-10-07,24.450001,24.59,24.370001,24.540001,70700,24.540001
2016-10-06,24.26,24.40,24.26,24.40,45500,24.40
2016-10-05,24.15,24.26,24.120001,24.25,43600,24.25
2016-10-04,24.01,24.32,24.01,24.09,78000,24.09
2016-10-03,24.120001,24.219999,23.98,24.10,69500,24.10
2016-09-30,24.01,24.35,23.889999,23.889999,155800,23.889999
2016-09-29,24.17,24.25,23.85,23.959999,162800,23.959999
2016-09-28,24.24,24.52,24.16,24.18,120700,24.18
2016-09-27,24.190001,24.450001,24.190001,24.24,77000,24.24
2016-09-26,24.200001,24.27,24.15,24.17,58100,24.17
2016-09-23,24.18,24.200001,24.16,24.16,22000,24.16
2016-09-22,24.17,24.200001,24.10,24.16,35700,24.16
2016-09-21,24.200001,24.299999,24.049999,24.17,101000,24.17
2016-09-20,24.299999,24.459999,24.190001,24.23,109900,23.994999
2016-09-19,24.299999,24.379999,24.030001,24.290001,84800,24.054418
2016-09-16,24.35,24.35,24.10,24.23,39600,23.994999
2016-09-15,24.24,24.299999,24.030001,24.26,100600,24.024709
2016-09-14,24.16,24.540001,24.09,24.41,94800,24.173253
2016-09-13,23.90,24.120001,23.620001,24.07,117400,23.836551
2016-09-12,24.280001,24.40,24.00,24.02,113300,23.787037
2016-09-09,24.58,24.639999,24.299999,24.43,51600,24.19306
2016-09-08,24.66,24.74,24.559999,24.620001,56100,24.381218
2016-09-07,24.559999,24.700001,24.42,24.68,48600,24.440635
2016-09-06,24.58,24.73,24.42,24.450001,64500,24.212866
2016-09-02,24.360001,24.49,24.299999,24.43,71500,24.19306
2016-09-01,24.620001,24.620001,24.299999,24.299999,62000,24.06432
2016-08-31,24.379999,24.719999,24.23,24.65,95400,24.410925
2016-08-30,24.290001,24.40,24.200001,24.290001,43000,24.054418
2016-08-29,24.290001,24.450001,24.24,24.27,83800,24.034612
2016-08-26,24.24,24.25,24.139999,24.24,61400,24.004902
2016-08-25,24.09,24.25,24.08,24.190001,49700,23.955388
2016-08-24,24.049999,24.18,24.049999,24.110001,27000,23.876164
2016-08-23,24.09,24.17,24.030001,24.08,30300,23.846454
2016-08-22,24.15,24.23,24.02,24.059999,49200,23.826648
2016-08-19,24.200001,24.209999,24.07,24.17,32600,23.935581
2016-08-18,24.120001,24.24,24.07,24.24,40200,24.004902
2016-08-17,24.15,24.25,23.940001,24.110001,81500,23.876164
2016-08-16,24.299999,24.440001,24.25,24.360001,85900,23.891019
2016-08-15,23.950001,24.290001,23.950001,24.290001,71300,23.822367
2016-08-12,23.91,24.08,23.91,23.950001,46900,23.488912
2016-08-11,23.889999,24.00,23.879999,23.92,35800,23.459489
2016-08-10,24.17,24.18,23.959999,23.959999,46100,23.498718
2016-08-09,24.200001,24.25,23.93,24.059999,56100,23.596793
2016-08-08,24.01,24.190001,23.969999,24.110001,38600,23.645832
2016-08-05,24.030001,24.18,24.00,24.01,55700,23.547757
2016-08-04,23.959999,24.00,23.90,23.92,31400,23.459489
2016-08-03,23.85,24.040001,23.82,23.860001,35600,23.400645
2016-08-02,23.860001,24.049999,23.799999,23.870001,45800,23.410453
2016-08-01,24.09,24.09,23.74,23.780001,87300,23.322185
2016-07-29,23.719999,24.040001,23.719999,24.030001,49100,23.567372
2016-07-28,23.75,23.879999,23.719999,23.790001,46600,23.331993
2016-07-27,23.85,23.950001,23.74,23.74,54900,23.282954
2016-07-26,23.90,23.99,23.83,23.879999,51700,23.420259
2016-07-25,23.73,23.959999,23.73,23.940001,61500,23.479105
2016-07-22,23.83,23.92,23.719999,23.860001,35100,23.400645
2016-07-21,23.73,23.959999,23.65,23.879999,42300,23.420259
2016-07-20,23.809999,23.93,23.60,23.75,30600,23.292762
2016-07-19,24.25,24.25,23.84,23.860001,64100,23.170169
2016-07-18,24.00,24.32,23.889999,24.129999,71700,23.432361
2016-07-15,23.68,23.99,23.68,23.99,55500,23.296409
2016-07-14,24.00,24.09,23.299999,23.76,147000,23.073059
2016-07-13,24.129999,24.200001,23.879999,23.93,50300,23.238145
2016-07-12,23.83,24.190001,23.799999,24.129999,127500,23.432361
2016-07-11,23.60,23.870001,23.58,23.719999,62600,23.034215
2016-07-08,23.49,23.58,23.35,23.51,51500,22.830287
2016-07-07,23.360001,23.57,23.309999,23.33,45400,22.655491
2016-07-06,23.18,23.360001,23.15,23.209999,34400,22.53896
2016-07-05,23.139999,23.200001,23.10,23.129999,64000,22.461273
2016-07-01,23.190001,23.290001,23.09,23.120001,41200,22.451563
2016-06-30,23.120001,23.190001,23.01,23.120001,40600,22.451563
2016-06-29,23.23,23.23,23.00,23.110001,57000,22.441852
2016-06-28,23.469999,23.49,23.07,23.07,61900,22.403008
2016-06-27,23.709999,23.719999,23.360001,23.469999,69400,22.791443
2016-06-24,23.25,23.639999,23.25,23.639999,37000,22.956528
2016-06-23,23.559999,23.58,23.450001,23.530001,51700,22.84971
2016-06-22,23.440001,23.549999,23.35,23.49,24200,22.810865
2016-06-21,23.48,23.58,23.35,23.58,24800,22.898263
2016-06-20,23.110001,23.370001,23.110001,23.33,42700,22.655491
2016-06-17,22.870001,23.15,22.870001,23.15,30500,22.480695
2016-06-16,23.030001,23.129999,22.879999,22.959999,69600,22.296188
2016-06-15,23.049999,23.290001,22.860001,23.139999,80600,22.470984
2016-06-14,23.40,23.40,23.120001,23.17,104300,22.271911
2016-06-13,23.68,23.68,23.32,23.33,46200,22.42571
2016-06-10,23.690001,23.700001,23.48,23.52,34500,22.608345
2016-06-09,23.40,23.68,23.40,23.68,56700,22.762144
2016-06-08,23.450001,23.549999,23.43,23.43,23500,22.521834
2016-06-07,23.549999,23.65,23.469999,23.50,24400,22.58912
2016-06-06,23.40,23.59,23.35,23.549999,54800,22.637181
2016-06-03,23.309999,23.48,23.25,23.450001,29800,22.541059
2016-06-02,23.25,23.33,23.16,23.23,48600,22.329585
2016-06-01,23.209999,23.27,23.15,23.18,41300,22.281524
2016-05-31,23.23,23.42,23.200001,23.309999,59200,22.406484
2016-05-27,22.969999,23.200001,22.969999,23.200001,54900,22.300749
2016-05-26,23.030001,23.23,22.889999,22.969999,57000,22.079663
2016-05-25,23.08,23.10,22.85,22.93,44700,22.041214
2016-05-24,22.879999,23.139999,22.879999,22.93,89600,22.041214
2016-05-23,22.92,22.99,22.85,22.879999,38400,21.993151
2016-05-20,22.799999,22.93,22.629999,22.85,73500,21.964315
2016-05-19,23.120001,23.23,22.709999,22.950001,115800,22.060439
2016-05-18,23.299999,23.35,23.059999,23.35,52100,22.444935
2016-05-17,23.50,23.700001,23.50,23.65,47700,22.507415
2016-05-16,23.26,23.58,23.219999,23.549999,52500,22.412246
2016-05-13,23.16,23.35,23.16,23.35,72800,22.221909
2016-05-12,23.219999,23.25,23.129999,23.200001,50000,22.079157
2016-05-11,23.23,23.25,23.110001,23.16,52300,22.041088
2016-05-10,23.15,23.25,23.15,23.25,30200,22.12674
2016-05-09,23.24,23.290001,23.09,23.110001,52600,21.993505
2016-05-06,23.08,23.23,22.98,23.23,37800,22.107706
2016-05-05,22.93,23.190001,22.93,23.08,48700,21.964953
2016-05-04,23.120001,23.280001,23.08,23.09,45200,21.97447
2016-05-03,23.219999,23.290001,23.00,23.219999,28900,22.098189
2016-05-02,23.299999,23.299999,23.00,23.219999,53400,22.098189
2016-04-29,22.75,23.34,22.75,23.299999,56100,22.174324
2016-04-28,22.799999,22.959999,22.68,22.889999,32100,21.784132
2016-04-27,22.780001,22.98,22.68,22.790001,46000,21.688965
2016-04-26,22.889999,23.139999,22.76,22.799999,44800,21.69848
2016-04-25,22.870001,23.059999,22.85,22.889999,33000,21.784132
2016-04-22,22.76,23.09,22.76,23.030001,27600,21.91737
2016-04-21,23.08,23.110001,22.809999,22.83,41100,21.727031
2016-04-20,23.23,23.40,23.00,23.09,46100,21.97447
2016-04-19,23.389999,23.60,23.35,23.52,57900,22.16005
2016-04-18,22.92,23.40,22.91,23.280001,52800,21.933927
2016-04-15,22.889999,23.24,22.84,23.040001,24700,21.707804
2016-04-14,22.860001,23.17,22.84,22.84,26700,21.519368
2016-04-13,22.879999,23.00,22.83,22.85,37400,21.52879
2016-04-12,22.700001,22.959999,22.700001,22.91,38100,21.58532
2016-04-11,22.98,23.00,22.700001,22.719999,63400,21.406305
2016-04-08,22.969999,23.219999,22.799999,22.90,31500,21.575898
2016-04-07,22.879999,23.23,22.85,23.10,27500,21.764334
2016-04-06,22.709999,23.02,22.709999,23.00,30700,21.670116
2016-04-05,22.700001,22.98,22.60,22.709999,32600,21.396883
2016-04-04,23.040001,23.040001,22.65,22.68,38900,21.368619
2016-04-01,22.700001,23.09,22.700001,23.040001,43800,21.707804
2016-03-31,22.860001,22.860001,22.719999,22.77,17400,21.453415
2016-03-30,22.809999,22.959999,22.799999,22.889999,10200,21.566476
2016-03-29,22.73,22.85,22.620001,22.83,37100,21.509946
2016-03-28,22.809999,22.84,22.719999,22.76,28700,21.443993
2016-03-24,22.629999,22.780001,22.530001,22.620001,33500,21.312089
2016-03-23,22.83,22.83,22.50,22.52,97300,21.217871
2016-03-22,22.92,23.02,22.82,22.82,19800,21.500524
2016-03-21,23.049999,23.049999,22.85,22.950001,40500,21.623008
2016-03-18,23.030001,23.059999,22.77,23.02,37300,21.68896
2016-03-17,22.49,23.040001,22.459999,23.040001,81100,21.707804
2016-03-16,22.389999,22.610001,22.370001,22.610001,29600,21.302667
2016-03-15,22.41,22.73,22.33,22.65,47800,21.118942
2016-03-14,22.50,22.549999,22.41,22.41,50500,20.895165
2016-03-11,22.85,22.91,22.51,22.51,60100,20.988406
2016-03-10,23.02,23.049999,22.83,22.870001,61500,21.324072
2016-03-09,23.15,23.15,23.01,23.01,29000,21.454608
2016-03-08,23.209999,23.26,23.01,23.110001,49400,21.547848
2016-03-07,23.09,23.360001,23.030001,23.26,48000,21.687709
2016-03-04,23.02,23.190001,23.02,23.17,53000,21.603792
2016-03-03,23.34,23.440001,23.00,23.01,79000,21.454608
2016-03-02,23.50,23.639999,23.370001,23.469999,43900,21.883512
2016-03-01,23.59,23.690001,23.50,23.60,54800,22.004726
2016-02-29,23.629999,23.629999,23.450001,23.58,47100,21.986077
2016-02-26,23.629999,23.629999,23.219999,23.549999,31500,21.958105
2016-02-25,23.360001,23.49,23.27,23.48,21000,21.892837
2016-02-24,23.450001,23.540001,23.299999,23.459999,50100,21.874188
2016-02-23,23.450001,23.57,23.25,23.540001,44300,21.948782
2016-02-22,23.450001,23.629999,23.280001,23.459999,72400,21.874188
2016-02-19,22.629999,23.370001,22.60,23.200001,65700,21.631765
2016-02-18,22.99,22.99,22.639999,22.790001,65000,21.249479
2016-02-17,23.09,23.09,22.799999,22.889999,50600,21.342718
2016-02-16,23.00,23.530001,22.860001,23.34,54200,21.566496
2016-02-12,22.51,22.90,22.450001,22.83,73600,21.095248
2016-02-11,22.870001,22.90,22.35,22.360001,66200,20.660962
2016-02-10,23.25,23.34,23.01,23.02,46000,21.270812
2016-02-09,23.549999,23.719999,23.32,23.35,66100,21.575736
2016-02-08,23.879999,23.879999,23.639999,23.690001,70600,21.889901
2016-02-05,23.870001,24.110001,23.74,23.92,102800,22.102424
2016-02-04,23.530001,24.02,23.35,23.92,77400,22.102424
2016-02-03,22.889999,23.58,22.889999,23.559999,178100,21.769779
2016-02-02,22.700001,23.02,22.700001,23.02,58300,21.270812
2016-02-01,22.93,23.16,22.75,22.75,73000,21.021327
2016-01-29,22.780001,22.940001,22.709999,22.85,52700,21.113729
2016-01-28,22.60,22.67,22.309999,22.52,149000,20.808804
2016-01-27,22.879999,22.91,22.58,22.60,62400,20.882726
2016-01-26,22.48,22.950001,22.48,22.92,84900,21.17841
2016-01-25,22.50,22.58,22.299999,22.450001,36000,20.744124
2016-01-22,22.209999,22.459999,22.209999,22.459999,39600,20.753362
2016-01-21,22.389999,22.540001,22.09,22.200001,42700,20.51312
2016-01-20,22.35,22.459999,22.00,22.059999,89300,20.383757
2016-01-19,23.030001,23.360001,22.709999,22.76,80000,20.836525
2016-01-15,23.450001,23.549999,23.110001,23.120001,46500,21.166101
2016-01-14,23.459999,23.690001,23.459999,23.549999,54000,21.55976
2016-01-13,23.700001,23.700001,23.52,23.540001,29900,21.550607
2016-01-12,23.84,23.84,23.41,23.51,36900,21.523141
2016-01-11,23.719999,23.91,23.629999,23.68,60300,21.678775
2016-01-08,23.629999,23.950001,23.629999,23.940001,54500,21.916802
2016-01-07,23.41,23.73,23.290001,23.700001,28800,21.697085
2016-01-06,23.450001,23.870001,23.43,23.549999,36500,21.55976
2016-01-05,23.620001,23.67,23.459999,23.57,53800,21.57807
2016-01-04,23.200001,23.60,23.200001,23.58,43100,21.587225
2015-12-31,23.32,23.610001,23.32,23.549999,70000,21.55976
2015-12-30,23.67,23.68,23.370001,23.549999,29100,21.55976
2015-12-29,23.57,23.73,23.549999,23.719999,53900,21.715393
2015-12-28,23.68,23.700001,23.450001,23.57,63500,21.57807
2015-12-24,23.969999,24.200001,23.969999,24.02,57500,21.394973
2015-12-23,23.969999,24.00,23.790001,23.98,67800,21.359344
2015-12-22,23.90,23.98,23.540001,23.98,64600,21.359344
2015-12-21,23.75,23.98,23.66,23.969999,76400,21.350437
2015-12-18,23.780001,23.83,23.43,23.799999,77800,21.199015
2015-12-17,23.40,24.24,23.02,23.82,100600,21.21683
2015-12-16,23.27,23.35,23.110001,23.290001,42000,20.744752
2015-12-15,22.51,23.219999,22.459999,23.200001,64500,20.477536
2015-12-14,23.40,23.43,22.41,22.42,126800,19.789067
2015-12-11,23.83,23.83,23.299999,23.299999,67600,20.5658
2015-12-10,23.76,23.91,23.76,23.85,24800,21.05126
2015-12-09,23.76,23.84,23.76,23.77,15300,20.980648
2015-12-08,23.549999,23.870001,23.530001,23.76,12900,20.971821
2015-12-07,23.65,23.77,23.51,23.67,35500,20.892382
2015-12-04,23.639999,23.83,23.639999,23.700001,37400,20.918863
2015-12-03,23.700001,23.870001,23.620001,23.67,46900,20.892382
2015-12-02,23.629999,23.700001,23.610001,23.65,22900,20.874729
2015-12-01,23.25,23.65,23.25,23.629999,31200,20.857076
2015-11-30,23.290001,23.32,23.17,23.26,30800,20.530495
2015-11-27,23.299999,23.32,23.139999,23.209999,20300,20.486361
2015-11-25,23.290001,23.290001,23.190001,23.26,34300,20.530495
2015-11-24,23.280001,23.309999,23.26,23.26,18500,20.530495
2015-11-23,23.42,23.42,23.190001,23.280001,85600,20.548149
2015-11-20,23.40,23.440001,23.309999,23.41,34600,20.662893
2015-11-19,23.389999,23.459999,23.18,23.42,34200,20.671719
2015-11-18,23.40,23.440001,23.33,23.440001,42500,20.689373
2015-11-17,23.559999,23.620001,23.48,23.51,33200,20.565802
2015-11-16,23.389999,23.700001,23.370001,23.58,46800,20.627035
2015-11-13,23.280001,23.52,23.26,23.35,66400,20.425839
2015-11-12,23.57,23.57,23.110001,23.15,80900,20.250885
2015-11-11,23.60,23.700001,23.41,23.58,66500,20.627035
2015-11-10,23.66,23.75,23.629999,23.639999,47700,20.679521
2015-11-09,23.83,23.91,23.530001,23.709999,67700,20.740755
2015-11-06,23.99,23.99,23.74,23.799999,43900,20.819484
2015-11-05,23.950001,23.959999,23.82,23.92,20300,20.924457
2015-11-04,24.040001,24.07,23.870001,23.93,45000,20.933205
2015-11-03,24.26,24.309999,23.959999,24.02,50000,21.011934
2015-11-02,24.389999,24.49,24.209999,24.27,81200,21.230626
2015-10-30,24.32,24.32,24.190001,24.24,25800,21.204382
2015-10-29,24.27,24.450001,24.139999,24.27,105200,21.230626
2015-10-28,24.32,24.41,24.049999,24.190001,82900,21.160645
2015-10-27,24.219999,24.610001,24.219999,24.33,79200,21.283112
2015-10-26,24.030001,24.32,24.030001,24.23,76800,21.195634
2015-10-23,24.299999,24.33,24.01,24.01,58400,21.003186
2015-10-22,24.450001,24.51,24.219999,24.299999,66600,21.256868
2015-10-21,24.32,24.690001,23.780001,24.360001,317500,21.309355
2015-10-20,24.66,24.82,24.620001,24.700001,68700,21.127404
2015-10-19,24.799999,24.860001,24.690001,24.719999,41100,21.14451
2015-10-16,24.92,25.190001,24.549999,24.790001,346400,21.204386
2015-10-15,24.93,25.129999,24.889999,24.889999,47100,21.289921
2015-10-14,24.83,25.17,24.74,24.92,67300,21.315582
2015-10-13,24.91,25.049999,24.76,24.76,106700,21.178725
2015-10-12,24.940001,25.040001,24.90,24.90,64700,21.298475
2015-10-09,25.02,25.02,24.92,24.92,22200,21.315582
2015-10-08,24.879999,25.01,24.879999,24.969999,37900,21.35835
2015-10-07,25.00,25.120001,24.92,24.92,61300,21.315582
2015-10-06,25.08,25.09,24.799999,24.950001,43300,21.341244
2015-10-05,25.09,25.129999,24.950001,25.049999,44600,21.426779
2015-10-02,24.780001,25.129999,24.690001,24.98,53200,21.366904
2015-10-01,24.940001,24.940001,24.75,24.82,18000,21.230046
2015-09-30,24.719999,25.00,24.66,24.940001,41000,21.33269
2015-09-29,24.90,24.93,24.57,24.73,41700,21.153063
2015-09-28,25.120001,25.120001,24.90,24.93,111500,21.324136
2015-09-25,25.110001,25.219999,25.07,25.139999,17800,21.503761
2015-09-24,24.90,25.110001,24.870001,25.10,25900,21.469548
2015-09-23,24.950001,25.059999,24.870001,25.00,24600,21.384011
2015-09-22,24.639999,24.90,24.639999,24.879999,32900,21.281367
2015-09-21,24.879999,24.90,24.629999,24.780001,57600,21.195832
2015-09-18,24.43,24.90,24.43,24.879999,27300,21.281367
2015-09-17,24.469999,24.68,24.309999,24.610001,61300,21.050421
