Date,Open,High,Low,Close,Volume,Adj Close
2016-10-14,78.12,78.12,78.12,78.12,000,78.12
2016-10-13,76.89,76.89,76.89,76.89,000,76.89
2016-10-12,77.76,77.76,77.76,77.76,000,77.76
2016-10-11,78.22,78.22,78.22,78.22,000,78.22
2016-10-10,77.51,77.51,77.51,77.51,000,77.51
2016-10-07,78.45,78.45,78.45,78.45,000,78.45
2016-10-06,78.82,78.82,78.82,78.82,000,78.82
2016-10-05,78.49,78.49,78.49,78.49,000,78.49
2016-10-04,78.78,78.78,78.78,78.78,000,78.78
2016-10-03,78.95,78.95,78.95,78.95,000,78.95
2016-09-30,77.40,77.40,77.40,77.40,000,77.40
2016-09-29,78.77,78.77,78.77,78.77,000,78.77
2016-09-28,77.85,77.85,77.85,77.85,000,77.85
2016-09-27,78.20,78.20,78.20,78.20,000,78.20
2016-09-26,78.05,78.05,78.05,78.05,000,78.05
2016-09-23,78.59,78.59,78.59,78.59,000,78.59
2016-09-22,77.96,77.96,77.96,77.96,000,77.96
2016-09-21,77.93,77.93,77.93,77.93,000,77.93
2016-09-20,77.31,77.31,77.31,77.31,000,77.31
2016-09-19,77.11,77.11,77.11,77.11,000,77.11
2016-09-16,77.05,77.05,77.05,77.05,000,77.05
2016-09-15,76.37,76.37,76.37,76.37,000,76.37
2016-09-14,77.11,77.11,77.11,77.11,000,77.11
2016-09-13,77.90,77.90,77.90,77.90,000,77.90
2016-09-12,77.59,77.59,77.59,77.59,000,77.59
2016-09-09,79.43,79.43,79.43,79.43,000,79.43
2016-09-08,79.62,79.62,79.62,79.62,000,79.62
2016-09-07,79.53,79.53,79.53,79.53,000,79.53
2016-09-06,79.82,79.82,79.82,79.82,000,79.82
2016-09-05,79.67,79.67,79.67,79.67,000,79.67
2016-09-02,78.59,78.59,78.59,78.59,000,78.59
2016-09-01,78.37,78.37,78.37,78.37,000,78.37
2016-08-31,78.04,78.04,78.04,78.04,000,78.04
2016-08-30,78.14,78.14,78.14,78.14,000,78.14
2016-08-29,77.49,77.49,77.49,77.49,000,77.49
2016-08-26,77.50,77.50,77.50,77.50,000,77.50
2016-08-25,77.89,77.89,77.89,77.89,000,77.89
2016-08-24,77.57,77.57,77.57,77.57,000,77.57
2016-08-23,77.66,77.66,77.66,77.66,000,77.66
2016-08-22,77.68,77.68,77.68,77.68,000,77.68
2016-08-19,78.01,78.01,78.01,78.01,000,78.01
2016-08-18,77.08,77.08,77.08,77.08,000,77.08
2016-08-17,77.19,77.19,77.19,77.19,000,77.19
