Date,Open,High,Low,Close,Volume,Adj Close
2016-10-18,19.700001,19.700001,19.25,19.25,3300,19.25
2016-10-17,19.379999,19.450001,19.299999,19.450001,800,19.450001
2016-10-14,19.620001,19.620001,19.540001,19.540001,1800,19.540001
2016-10-13,19.73,19.92,19.540001,19.540001,1700,19.540001
2016-10-12,19.75,20.00,19.75,19.90,900,19.90
2016-10-11,19.74,19.90,19.700001,19.700001,3000,19.700001
2016-10-10,19.98,19.98,19.879999,19.879999,2700,19.879999
2016-10-07,19.91,19.91,19.879999,19.879999,300,19.879999
2016-10-06,19.73,19.73,19.73,19.73,100,19.73
2016-10-05,19.940001,19.98,19.870001,19.870001,500,19.870001
2016-10-04,20.219999,20.219999,19.690001,19.77,2300,19.77
2016-10-03,19.969999,20.030001,19.959999,20.030001,1600,20.030001
2016-09-30,19.860001,20.120001,19.780001,20.02,10700,20.02
2016-09-29,19.49,19.879999,19.49,19.879999,9400,19.879999
2016-09-28,19.25,19.450001,19.200001,19.309999,20700,19.309999
2016-09-27,19.24,19.32,18.780001,19.02,11300,19.02
2016-09-26,19.299999,19.299999,19.299999,19.299999,100,19.299999
2016-09-23,19.389999,19.389999,19.280001,19.299999,1000,19.299999
2016-09-22,19.360001,19.49,19.32,19.34,2800,19.34
2016-09-21,19.35,19.50,19.25,19.49,8200,19.49
2016-09-20,19.50,19.50,19.25,19.26,16100,19.26
2016-09-19,19.50,19.700001,19.42,19.59,9400,19.59
2016-09-16,19.52,19.65,19.50,19.50,5100,19.50
2016-09-15,19.629999,19.629999,19.50,19.530001,9300,19.530001
2016-09-14,19.52,19.690001,19.52,19.68,1800,19.68
2016-09-13,19.60,19.700001,19.51,19.59,7400,19.59
2016-09-12,19.559999,19.75,19.559999,19.629999,2300,19.629999
2016-09-09,19.690001,19.690001,19.57,19.66,2300,19.66
2016-09-08,19.700001,19.74,19.700001,19.73,700,19.73
2016-09-07,19.620001,19.74,19.60,19.629999,8100,19.629999
2016-09-06,19.49,19.690001,19.49,19.610001,2200,19.610001
2016-09-02,19.469999,19.49,19.42,19.49,1100,19.49
2016-09-01,19.200001,19.74,19.200001,19.50,3500,19.50
2016-08-31,19.290001,19.49,18.92,19.200001,11800,19.200001
2016-08-30,19.25,19.84,19.25,19.610001,5300,19.610001
2016-08-29,19.15,19.469999,18.93,19.25,15400,19.25
2016-08-26,18.940001,19.27,18.940001,19.10,3700,19.10
2016-08-25,18.940001,19.25,18.93,18.940001,10300,18.940001
2016-08-24,19.00,19.00,18.92,18.92,3200,18.92
2016-08-23,18.959999,19.00,18.809999,18.809999,2800,18.809999
2016-08-22,18.85,18.85,18.85,18.85,000,18.85
2016-08-19,18.809999,18.950001,18.790001,18.85,15500,18.85
2016-08-18,18.93,19.00,18.90,19.00,1200,19.00
2016-08-17,18.82,19.00,18.82,18.98,4700,18.98
2016-08-16,18.48,18.870001,18.48,18.870001,1100,18.870001
2016-08-15,18.85,18.85,18.85,18.85,600,18.85
2016-08-12,18.559999,18.91,18.530001,18.91,1800,18.799999
2016-08-11,18.77,19.00,18.50,18.99,15500,18.879534
2016-08-10,18.48,19.030001,18.48,18.790001,23200,18.680698
2016-08-09,18.40,18.469999,18.360001,18.469999,2900,18.362558
2016-08-08,18.35,18.48,18.18,18.450001,3200,18.342676
2016-08-05,18.379999,18.40,18.10,18.389999,1400,18.283024
2016-08-04,18.440001,18.50,18.07,18.209999,16800,18.104071
2016-08-03,18.01,18.450001,18.01,18.27,1600,18.163723
2016-08-02,18.02,18.60,18.02,18.27,2700,18.163723
2016-08-01,17.67,18.90,17.59,17.99,12900,17.885351
2016-07-29,17.25,17.85,17.08,17.73,19000,17.626863
2016-07-28,17.15,17.15,17.15,17.15,000,17.050237
2016-07-27,17.07,17.17,17.07,17.15,1200,17.050237
2016-07-26,16.76,17.190001,16.76,17.02,800,16.920994
2016-07-25,17.08,17.190001,16.99,17.190001,2800,17.090005
2016-07-22,17.190001,17.25,17.00,17.200001,7900,17.099947
2016-07-21,17.200001,17.200001,17.200001,17.200001,200,17.099947
2016-07-20,16.93,17.190001,16.93,17.190001,400,17.090005
2016-07-19,17.120001,17.120001,16.92,17.030001,8800,16.930936
2016-07-18,17.17,17.200001,17.15,17.15,1100,17.050237
2016-07-15,16.83,17.15,16.799999,16.969999,1700,16.871284
2016-07-14,16.98,17.17,16.98,17.00,2500,16.90111
2016-07-13,17.129999,17.129999,16.860001,17.00,4500,16.90111
2016-07-12,17.10,17.10,17.049999,17.049999,1400,16.950818
2016-07-11,16.90,17.190001,16.90,17.030001,3000,16.930936
2016-07-08,17.200001,17.200001,16.809999,16.809999,4400,16.712215
2016-07-07,16.82,17.059999,16.82,16.84,3900,16.742041
2016-07-06,16.98,16.98,16.559999,16.709999,3600,16.612796
2016-07-05,16.799999,17.030001,16.389999,17.030001,3500,16.930936
2016-07-01,16.77,17.110001,16.639999,16.889999,10800,16.791749
2016-06-30,16.74,16.82,16.549999,16.58,5600,16.483553
2016-06-29,16.15,16.809999,16.110001,16.77,11200,16.672448
2016-06-28,16.08,16.35,16.040001,16.129999,15400,16.03617
2016-06-27,16.00,16.26,15.74,15.97,4500,15.877102
2016-06-24,16.02,16.16,15.91,16.00,2700,15.906927
2016-06-23,15.93,16.33,15.93,16.17,1500,16.075938
2016-06-22,16.209999,16.24,16.08,16.08,21000,15.986462
2016-06-21,16.280001,16.48,16.190001,16.190001,6400,16.095822
2016-06-20,16.129999,16.25,16.129999,16.200001,3500,16.105764
2016-06-17,16.120001,16.16,16.00,16.059999,22600,15.966578
2016-06-16,16.23,16.23,16.110001,16.200001,6900,16.105764
2016-06-15,16.280001,16.280001,16.200001,16.200001,2100,16.105764
2016-06-14,16.219999,16.43,16.09,16.299999,16500,16.205181
2016-06-13,16.25,16.25,16.200001,16.23,1200,16.135589
2016-06-10,16.309999,16.309999,16.27,16.27,700,16.175357
2016-06-09,16.549999,16.59,16.379999,16.52,1200,16.423903
2016-06-08,16.40,16.43,16.219999,16.34,5900,16.244949
2016-06-07,16.299999,16.58,16.23,16.51,7200,16.413961
2016-06-06,16.42,16.450001,16.219999,16.379999,17800,16.284716
2016-06-03,16.40,16.40,16.18,16.309999,3300,16.215123
2016-06-02,16.34,16.50,16.27,16.299999,9400,16.205181
2016-06-01,16.40,16.48,16.32,16.32,14500,16.225065
2016-05-31,16.379999,16.709999,16.379999,16.42,8300,16.324484
2016-05-27,16.16,16.25,16.16,16.25,1800,16.155473
2016-05-26,16.280001,16.360001,16.120001,16.25,19000,16.155473
2016-05-25,16.219999,16.219999,16.08,16.16,4600,16.065996
2016-05-24,16.379999,16.379999,16.15,16.35,9900,16.254892
2016-05-23,16.15,16.700001,16.00,16.35,36100,16.254892
2016-05-20,16.01,16.42,16.00,16.120001,20200,16.02623
2016-05-19,16.15,16.27,16.00,16.16,8200,16.065996
2016-05-18,16.16,16.27,15.99,16.15,60800,16.056054
2016-05-17,16.309999,16.440001,16.129999,16.129999,2700,16.03617
2016-05-16,16.07,16.52,16.07,16.299999,16500,16.205181
2016-05-13,16.18,16.41,16.030001,16.24,17500,16.036171
2016-05-12,16.559999,16.559999,16.17,16.209999,6600,16.006547
2016-05-11,16.389999,16.90,16.040001,16.33,8500,16.125042
2016-05-10,16.41,16.73,16.07,16.35,29300,16.144791
2016-05-09,16.870001,16.91,16.309999,16.33,15300,16.125042
2016-05-06,16.23,16.58,16.23,16.35,2300,16.144791
2016-05-05,16.440001,16.440001,16.200001,16.24,9800,16.036171
2016-05-04,16.92,16.950001,16.25,16.549999,9400,16.34228
2016-05-03,16.75,16.75,16.32,16.40,5000,16.194163
2016-05-02,16.360001,16.549999,16.32,16.50,6000,16.292908
2016-04-29,16.50,16.75,16.450001,16.74,3500,16.529896
2016-04-28,16.32,16.549999,16.299999,16.50,2900,16.292908
2016-04-27,16.60,16.60,16.299999,16.299999,5100,16.095418
2016-04-26,16.73,16.73,16.17,16.639999,14000,16.431151
2016-04-25,16.59,16.690001,16.459999,16.459999,4700,16.253409
2016-04-22,16.299999,16.75,16.299999,16.58,4100,16.371904
2016-04-21,16.700001,16.75,16.190001,16.389999,39300,16.184288
2016-04-20,16.700001,17.040001,16.459999,16.549999,30800,16.34228
2016-04-19,17.00,17.209999,16.43,16.790001,32300,16.579269
2016-04-18,16.549999,17.09,16.549999,16.84,3200,16.628641
2016-04-15,16.610001,17.00,16.49,16.83,10200,16.618766
2016-04-14,16.33,16.690001,16.299999,16.690001,11800,16.480524
2016-04-13,16.200001,16.32,16.200001,16.32,10500,16.115167
