Date,Open,High,Low,Close,Volume,Adj Close
2016-10-18,15.48,15.58,15.46,15.58,91600,15.58
2016-10-17,15.64,15.70,15.43,15.45,155100,15.45
2016-10-14,15.77,15.79,15.64,15.66,96000,15.66
2016-10-13,15.89,15.91,15.75,15.77,149100,15.77
2016-10-12,15.93,15.98,15.91,15.91,76300,15.91
2016-10-11,16.09,16.139999,15.94,15.96,100600,15.96
2016-10-10,16.18,16.18,16.07,16.10,65800,16.10
2016-10-07,16.16,16.190001,16.09,16.09,63900,16.09
2016-10-06,16.23,16.23,16.139999,16.219999,56300,16.219999
2016-10-05,16.290001,16.299999,16.190001,16.27,99200,16.27
2016-10-04,16.280001,16.299999,16.219999,16.27,42000,16.27
2016-10-03,16.23,16.33,16.200001,16.33,77800,16.33
2016-09-30,16.290001,16.379999,16.23,16.26,129300,16.26
2016-09-29,16.27,16.299999,16.139999,16.219999,88200,16.219999
2016-09-28,16.23,16.299999,16.200001,16.24,63700,16.24
2016-09-27,16.280001,16.309999,16.25,16.25,51300,16.25
2016-09-26,16.27,16.280001,16.23,16.280001,48400,16.280001
2016-09-23,16.309999,16.309999,16.26,16.309999,55100,16.309999
2016-09-22,16.26,16.33,16.24,16.309999,106700,16.309999
2016-09-21,16.00,16.129999,15.90,16.110001,234200,16.110001
2016-09-20,16.17,16.200001,16.129999,16.129999,65700,16.024999
2016-09-19,16.120001,16.18,16.110001,16.15,67200,16.04487
2016-09-16,16.10,16.110001,16.040001,16.10,73700,15.995196
2016-09-15,16.23,16.23,16.10,16.10,132900,15.995196
2016-09-14,16.24,16.379999,16.17,16.25,90800,16.144219
2016-09-13,16.42,16.43,16.15,16.190001,149400,16.08461
2016-09-12,16.42,16.48,16.34,16.459999,88400,16.352851
2016-09-09,16.700001,16.709999,16.35,16.450001,179700,16.342918
2016-09-08,16.68,16.75,16.68,16.75,102000,16.640964
2016-09-07,16.620001,16.700001,16.60,16.68,101100,16.57142
2016-09-06,16.58,16.620001,16.48,16.60,125800,16.491941
2016-09-02,16.65,16.66,16.530001,16.559999,87900,16.4522
2016-09-01,16.60,16.610001,16.549999,16.58,108900,16.472071
2016-08-31,16.58,16.59,16.52,16.549999,108300,16.442265
2016-08-30,16.530001,16.559999,16.50,16.549999,78900,16.442265
2016-08-29,16.42,16.52,16.42,16.49,139300,16.382656
2016-08-26,16.469999,16.51,16.42,16.42,109000,16.313112
2016-08-25,16.43,16.50,16.40,16.42,78900,16.313112
2016-08-24,16.41,16.469999,16.40,16.43,72800,16.323048
2016-08-23,16.43,16.43,16.389999,16.389999,91700,16.283307
2016-08-22,16.42,16.42,16.32,16.379999,210100,16.273372
2016-08-19,16.34,16.43,16.32,16.42,161700,16.313112
2016-08-18,16.370001,16.379999,16.27,16.290001,68600,16.183959
2016-08-17,16.33,16.360001,16.27,16.32,81700,16.213763
2016-08-16,16.440001,16.440001,16.32,16.379999,131200,16.169056
2016-08-15,16.33,16.40,16.33,16.40,44500,16.188798
2016-08-12,16.27,16.299999,16.26,16.27,67000,16.060473
2016-08-11,16.219999,16.32,16.219999,16.25,69600,16.040731
2016-08-10,16.209999,16.280001,16.209999,16.24,94000,16.030859
2016-08-09,16.200001,16.26,16.190001,16.209999,69100,16.001245
2016-08-08,16.17,16.209999,16.129999,16.190001,83000,15.981504
2016-08-05,16.16,16.16,16.10,16.129999,78800,15.922275
2016-08-04,16.16,16.17,16.049999,16.049999,111400,15.843305
2016-08-03,16.120001,16.200001,16.10,16.10,58900,15.892663
2016-08-02,16.18,16.219999,16.139999,16.16,60500,15.951889
2016-08-01,16.25,16.25,16.139999,16.190001,86300,15.981504
2016-07-29,16.15,16.280001,16.09,16.26,139800,16.050602
2016-07-28,16.08,16.15,15.98,16.15,115000,15.942018
2016-07-27,16.07,16.110001,16.040001,16.08,64100,15.87292
2016-07-26,16.059999,16.07,16.00,16.01,67400,15.803822
2016-07-25,16.059999,16.08,16.00,16.040001,82400,15.833436
2016-07-22,16.00,16.10,15.99,16.10,180300,15.892663
2016-07-21,16.02,16.030001,15.92,15.99,217700,15.784079
2016-07-20,15.99,16.040001,15.88,16.030001,72700,15.823564
2016-07-19,16.08,16.08,15.98,16.040001,89300,15.729788
2016-07-18,16.049999,16.049999,15.98,16.040001,229600,15.729788
2016-07-15,16.00,16.01,15.92,15.97,106700,15.661141
2016-07-14,15.85,16.030001,15.81,16.01,718700,15.700367
2016-07-13,15.80,15.86,15.70,15.80,400900,15.494429
2016-07-12,15.75,15.84,15.73,15.79,105500,15.484622
2016-07-11,15.64,15.74,15.64,15.73,144700,15.425782
2016-07-08,15.55,15.72,15.50,15.66,139600,15.357136
2016-07-07,15.45,15.51,15.44,15.51,99100,15.210037
2016-07-06,15.41,15.45,15.37,15.45,85300,15.151197
2016-07-05,15.40,15.44,15.36,15.42,122700,15.121778
2016-07-01,15.39,15.43,15.34,15.42,96000,15.121778
2016-06-30,15.32,15.38,15.28,15.38,109800,15.082551
2016-06-29,15.29,15.34,15.24,15.30,101500,15.004099
2016-06-28,15.09,15.23,15.04,15.09,101800,14.79816
2016-06-27,14.99,15.15,14.91,14.91,149700,14.621641
2016-06-24,14.90,15.12,14.85,15.01,107000,14.719707
2016-06-23,15.25,15.29,15.18,15.20,103300,14.906032
2016-06-22,15.12,15.19,15.11,15.19,65200,14.896225
2016-06-21,15.15,15.21,15.03,15.12,78900,14.827579
2016-06-20,15.14,15.15,15.03,15.10,70100,14.807967
2016-06-17,14.93,14.98,14.92,14.95,93000,14.660867
2016-06-16,14.88,14.95,14.83,14.87,123600,14.582414
2016-06-15,14.98,15.09,14.81,14.92,136000,14.631448
2016-06-14,15.14,15.15,15.00,15.00,127300,14.606931
2016-06-13,15.24,15.24,15.09,15.11,127000,14.714048
2016-06-10,15.23,15.29,15.14,15.24,129600,14.840642
2016-06-09,15.35,15.41,15.25,15.25,181900,14.85038
2016-06-08,15.25,15.36,15.23,15.33,92700,14.928284
2016-06-07,15.10,15.19,15.10,15.18,72600,14.782215
2016-06-06,15.13,15.13,15.01,15.01,73700,14.616669
2016-06-03,14.93,15.10,14.91,15.10,126900,14.704311
2016-06-02,14.81,14.97,14.81,14.97,74400,14.577718
2016-06-01,14.79,14.88,14.78,14.84,90400,14.451124
2016-05-31,14.94,14.94,14.75,14.75,117800,14.363482
2016-05-27,14.88,14.97,14.84,14.88,116300,14.490076
2016-05-26,14.85,14.93,14.80,14.84,117500,14.451124
2016-05-25,14.90,14.94,14.82,14.84,133300,14.451124
2016-05-24,14.78,14.89,14.75,14.89,257500,14.499814
2016-05-23,14.67,14.69,14.62,14.69,103600,14.305054
2016-05-20,14.67,14.67,14.58,14.64,78300,14.256365
2016-05-19,14.75,14.76,14.55,14.63,120900,14.246627
2016-05-18,14.74,14.79,14.62,14.76,141200,14.373221
2016-05-17,14.76,14.87,14.73,14.87,88100,14.378089
2016-05-16,14.85,14.88,14.73,14.83,121500,14.339412
2016-05-13,14.76,14.81,14.72,14.81,87000,14.320074
2016-05-12,14.80,14.84,14.64,14.74,138800,14.252389
2016-05-11,14.72,14.78,14.69,14.72,83800,14.233052
2016-05-10,14.65,14.75,14.65,14.74,45600,14.252389
