Date,Open,High,Low,Close,Volume,Adj Close
2016-10-18,8.078,8.448,8.00,8.17,39400,8.17
2016-10-17,8.84,8.84,7.591,8.14,65000,8.14
2016-10-14,9.40,9.44,8.55,8.61,70600,8.61
2016-10-13,9.62,9.68,9.40,9.40,37100,9.40
2016-10-12,9.72,9.72,9.62,9.62,16300,9.62
2016-10-11,9.715,9.73,9.62,9.69,100100,9.69
2016-10-10,9.71,9.82,9.71,9.80,14800,9.80
2016-10-07,9.98,9.98,9.62,9.755,27400,9.755
2016-10-06,9.62,9.88,9.62,9.64,65900,9.64
2016-10-05,9.95,10.08,9.50,9.57,72700,9.57
2016-10-04,10.26,10.68,9.71,9.95,133500,9.95
2016-10-03,9.30,10.44,9.30,10.39,211300,10.39
2016-09-30,9.35,9.72,9.15,9.22,410000,9.22
2016-09-29,9.21,10.90,9.02,9.18,2412300,9.18
