Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,6.55,6.59,6.52,6.53,55000,6.53
2016-10-20,6.52,6.57,6.51,6.52,41900,6.52
2016-10-19,6.52,6.56,6.50,6.52,54500,6.52
2016-10-18,6.55,6.57,6.51,6.52,51700,6.52
2016-10-17,6.58,6.60,6.52,6.52,44600,6.52
2016-10-14,6.53,6.57,6.53,6.55,40200,6.55
2016-10-13,6.56,6.59,6.52,6.55,73000,6.55
2016-10-12,6.60,6.66,6.59,6.60,79500,6.55
2016-10-11,6.67,6.67,6.60,6.62,64600,6.569848
2016-10-10,6.67,6.69,6.65,6.65,68800,6.599621
2016-10-07,6.68,6.70,6.66,6.67,35200,6.61947
2016-10-06,6.70,6.70,6.65,6.67,75500,6.61947
2016-10-05,6.75,6.77,6.71,6.73,84600,6.679015
2016-10-04,6.76,6.80,6.73,6.74,65300,6.688939
2016-10-03,6.77,6.80,6.75,6.80,28500,6.748485
2016-09-30,6.76,6.80,6.72,6.80,42500,6.748485
2016-09-29,6.79,6.79,6.68,6.75,88400,6.698864
2016-09-28,6.76,6.80,6.72,6.80,35700,6.748485
2016-09-27,6.74,6.81,6.74,6.79,56700,6.738561
2016-09-26,6.70,6.78,6.70,6.75,45600,6.698864
2016-09-23,6.75,6.78,6.67,6.73,87400,6.679015
2016-09-22,6.75,6.76,6.69,6.72,51900,6.669091
2016-09-21,6.69,6.75,6.64,6.72,62300,6.669091
2016-09-20,6.68,6.71,6.66,6.66,38200,6.609545
2016-09-19,6.66,6.70,6.63,6.64,64600,6.589697
2016-09-16,6.63,6.70,6.62,6.70,20200,6.649242
2016-09-15,6.65,6.70,6.60,6.67,42200,6.61947
2016-09-14,6.61,6.69,6.58,6.66,40300,6.609545
2016-09-13,6.71,6.73,6.63,6.67,71500,6.569848
2016-09-12,6.62,6.78,6.62,6.72,38300,6.619097
2016-09-09,6.67,6.74,6.62,6.62,86500,6.520599
2016-09-08,6.70,6.79,6.65,6.73,57200,6.628947
2016-09-07,6.66,6.74,6.65,6.70,78300,6.599398
2016-09-06,6.64,6.70,6.61,6.69,74600,6.589548
2016-09-02,6.60,6.62,6.55,6.61,35000,6.510749
2016-09-01,6.51,6.61,6.50,6.58,40400,6.4812
2016-08-31,6.60,6.63,6.51,6.52,78100,6.422101
2016-08-30,6.61,6.62,6.58,6.58,82900,6.4812
2016-08-29,6.62,6.64,6.61,6.62,64000,6.520599
