Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,4.05,4.10,3.95,4.05,103600,4.05
2016-10-20,4.25,4.35,4.05,4.10,55400,4.10
2016-10-19,4.15,4.20,4.05,4.15,274300,4.15
2016-10-18,3.90,4.18,3.83,4.15,129200,4.15
2016-10-17,3.80,3.88,3.75,3.85,118000,3.85
2016-10-14,3.83,3.88,3.79,3.81,123000,3.81
2016-10-13,3.77,3.85,3.67,3.81,138700,3.81
2016-10-12,3.82,3.85,3.80,3.82,85800,3.82
2016-10-11,3.85,3.90,3.80,3.83,149900,3.83
2016-10-10,3.82,3.87,3.77,3.82,73300,3.82
2016-10-07,3.91,3.91,3.72,3.74,187800,3.74
2016-10-06,3.87,3.91,3.80,3.83,135000,3.83
2016-10-05,3.90,3.97,3.84,3.90,172500,3.90
2016-10-04,3.92,3.94,3.80,3.84,292600,3.84
2016-10-03,4.02,4.02,3.85,3.99,276400,3.99
2016-09-30,3.79,4.03,3.74,3.96,443200,3.96
2016-09-29,3.86,3.86,3.63,3.69,356500,3.69
2016-09-28,3.62,3.72,3.60,3.68,240500,3.68
2016-09-27,3.67,3.69,3.57,3.62,238700,3.62
2016-09-26,3.74,3.79,3.70,3.72,253700,3.72
2016-09-23,3.83,3.85,3.70,3.71,299700,3.71
2016-09-22,3.80,3.94,3.77,3.85,255700,3.85
2016-09-21,3.76,3.78,3.63,3.70,414900,3.70
2016-09-20,3.72,3.77,3.66,3.69,114700,3.69
2016-09-19,3.84,3.85,3.68,3.69,410300,3.69
2016-09-16,3.76,3.83,3.72,3.77,191100,3.77
2016-09-15,3.79,3.87,3.75,3.80,117800,3.80
2016-09-14,3.77,3.94,3.77,3.77,362400,3.77
2016-09-13,3.88,3.91,3.67,3.75,219100,3.75
2016-09-12,3.78,4.02,3.78,3.95,240100,3.95
2016-09-09,4.07,4.07,3.89,3.95,218600,3.95
2016-09-08,4.25,4.25,4.10,4.12,138600,4.12
2016-09-07,4.28,4.31,4.14,4.21,137800,4.21
2016-09-06,4.22,4.35,4.21,4.30,177400,4.292
2016-09-02,4.20,4.23,4.13,4.15,186100,4.142279
