Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,16.049999,16.25,16.030001,16.219999,755800,16.219999
2016-10-20,16.110001,16.290001,15.71,16.23,1218700,16.23
2016-10-19,17.02,17.02,16.190001,16.209999,1185700,16.209999
2016-10-18,17.26,17.26,17.030001,17.10,334100,17.10
2016-10-17,17.09,17.209999,17.01,17.02,183200,17.02
2016-10-14,17.27,17.360001,17.09,17.139999,404800,17.139999
2016-10-13,17.34,17.34,17.00,17.07,465800,17.07
2016-10-12,17.469999,17.65,17.379999,17.51,398700,17.51
2016-10-11,17.66,17.780001,17.34,17.440001,270100,17.440001
2016-10-10,17.66,17.860001,17.639999,17.690001,273500,17.690001
2016-10-07,17.450001,17.629999,17.360001,17.58,340000,17.58
2016-10-06,17.799999,17.83,17.49,17.52,720900,17.52
2016-10-05,17.620001,17.889999,17.549999,17.860001,904900,17.860001
2016-10-04,17.190001,17.549999,17.190001,17.530001,579400,17.530001
2016-10-03,17.200001,17.280001,17.09,17.18,451000,17.18
2016-09-30,17.030001,17.450001,17.00,17.370001,616400,17.370001
2016-09-29,17.280001,17.280001,16.889999,16.959999,433600,16.959999
2016-09-28,17.049999,17.26,16.950001,17.24,472300,17.24
2016-09-27,16.68,17.00,16.559999,16.98,514700,16.98
2016-09-26,16.889999,16.93,16.67,16.75,714800,16.75
2016-09-23,16.91,17.059999,16.860001,17.030001,475100,17.030001
2016-09-22,16.93,17.030001,16.809999,17.00,398900,17.00
2016-09-21,16.690001,16.879999,16.610001,16.82,448700,16.82
2016-09-20,16.799999,16.799999,16.59,16.610001,341800,16.610001
2016-09-19,16.66,16.93,16.59,16.709999,557800,16.709999
2016-09-16,16.99,16.99,16.59,16.59,2188400,16.59
2016-09-15,16.860001,16.98,16.76,16.959999,825900,16.959999
2016-09-14,17.01,17.129999,16.790001,16.84,614000,16.84
2016-09-13,17.27,17.370001,16.940001,17.059999,725200,17.059999
2016-09-12,17.120001,17.459999,16.98,17.450001,710800,17.450001
2016-09-09,17.200001,17.41,17.190001,17.209999,573600,17.209999
2016-09-08,17.290001,17.48,17.17,17.290001,652500,17.290001
2016-09-07,17.040001,17.41,16.99,17.24,412900,17.24
2016-09-06,17.440001,17.450001,17.02,17.08,439100,17.08
2016-09-02,17.23,17.41,17.059999,17.40,479000,17.40
2016-09-01,17.290001,17.299999,16.93,17.18,576900,17.18
2016-08-31,17.030001,17.24,16.91,17.200001,1132200,17.200001
2016-08-30,16.92,17.049999,16.90,17.030001,492900,17.030001
2016-08-29,16.91,16.99,16.82,16.940001,640200,16.940001
2016-08-26,16.950001,17.00,16.66,16.85,747100,16.85
2016-08-25,16.66,16.99,16.620001,16.959999,1054100,16.959999
2016-08-24,16.57,16.75,16.51,16.719999,648400,16.719999
2016-08-23,16.40,16.639999,16.25,16.620001,1430800,16.620001
2016-08-22,16.23,16.280001,16.00,16.280001,748000,16.280001
2016-08-19,16.139999,16.370001,16.08,16.32,1092400,16.32
2016-08-18,15.99,16.15,15.93,16.15,737800,16.15
2016-08-17,15.65,16.01,15.61,15.99,1186200,15.99
2016-08-16,15.58,15.70,15.30,15.67,480700,15.67
2016-08-15,15.36,15.59,15.32,15.59,292300,15.59
2016-08-12,15.25,15.37,15.16,15.36,474100,15.36
2016-08-11,15.17,15.56,15.00,15.41,795200,15.41
2016-08-10,15.40,15.42,15.24,15.28,555800,15.28
2016-08-09,15.66,15.72,15.38,15.44,878500,15.44
2016-08-08,15.59,15.71,15.44,15.51,638000,15.51
2016-08-05,15.41,15.70,15.38,15.63,691800,15.63
2016-08-04,15.40,15.41,15.15,15.31,634000,15.31
2016-08-03,15.25,15.70,15.20,15.39,761800,15.39
2016-08-02,15.47,15.73,15.40,15.49,765000,15.49
2016-08-01,15.39,15.78,15.23,15.70,968500,15.70
2016-07-29,15.58,15.66,15.34,15.37,1852100,15.37
2016-07-28,15.64,15.73,15.45,15.58,407800,15.58
2016-07-27,15.57,15.80,15.48,15.61,526000,15.61
2016-07-26,15.58,15.94,15.40,15.47,735100,15.47
2016-07-25,15.92,15.97,15.56,15.60,637600,15.60
2016-07-22,15.61,15.97,15.54,15.88,530600,15.88
2016-07-21,15.77,15.86,15.55,15.55,496400,15.55
2016-07-20,16.030001,16.030001,15.71,15.74,451600,15.74
2016-07-19,15.20,16.26,15.10,16.00,600000,16.00
2016-07-18,16.040001,16.24,15.89,15.89,409100,15.89
2016-07-15,16.360001,16.360001,16.07,16.10,359600,16.10
2016-07-14,16.10,16.299999,16.01,16.16,489400,16.16
2016-07-13,15.88,16.040001,15.81,15.90,509700,15.90
2016-07-12,15.74,16.02,15.74,15.95,495400,15.95
2016-07-11,15.42,15.66,15.37,15.56,476400,15.56
2016-07-08,15.09,15.44,14.99,15.30,545800,15.30
2016-07-07,14.78,14.98,14.69,14.86,794100,14.86
2016-07-06,14.19,14.67,14.16,14.66,728500,14.66
2016-07-05,14.43,14.50,14.18,14.41,808500,14.30
2016-07-01,14.87,14.89,14.51,14.63,449400,14.518321
2016-06-30,14.75,14.93,14.49,14.92,637300,14.806107
2016-06-29,14.61,14.69,14.36,14.67,434900,14.558016
2016-06-28,14.31,14.46,14.09,14.40,602100,14.290076
2016-06-27,14.44,14.44,13.99,14.09,762300,13.982443
2016-06-24,14.94,15.15,14.64,14.64,732100,14.528245
2016-06-23,15.66,16.030001,15.63,15.96,612100,15.838168
2016-06-22,15.43,15.65,15.39,15.42,700400,15.30229
2016-06-21,15.34,15.47,15.16,15.41,708300,15.292367
2016-06-20,15.30,15.64,15.30,15.34,611800,15.222901
2016-06-17,15.31,15.49,15.06,15.13,1072700,15.014504
2016-06-16,15.26,15.34,15.01,15.30,603900,15.183207
2016-06-15,15.54,15.72,15.31,15.42,363100,15.30229
2016-06-14,15.56,15.75,15.36,15.40,419900,15.282443
2016-06-13,15.69,15.85,15.54,15.62,413800,15.500764
2016-06-10,15.91,16.059999,15.75,15.81,378400,15.689314
2016-06-09,16.110001,16.18,15.81,16.10,573600,15.9771
2016-06-08,16.120001,16.33,16.09,16.24,425000,16.116031
2016-06-07,16.200001,16.280001,16.049999,16.129999,256600,16.00687
2016-06-06,16.07,16.379999,16.02,16.24,397400,16.116031
2016-06-03,16.110001,16.110001,15.58,16.030001,949900,15.907635
2016-06-02,16.27,16.309999,16.09,16.299999,493000,16.175572
