Date,Open,High,Low,Close,Volume,Adj Close
2016-10-18,10.03,10.08,10.00,10.07,87300,10.07
2016-10-17,10.045,10.05,10.01,10.03,67900,10.03
2016-10-14,10.05,10.08,10.03,10.05,136400,10.05
2016-10-13,10.09,10.09,10.03,10.09,110600,10.09
2016-10-12,10.04,10.09,10.01,10.06,169300,10.06
2016-10-11,10.118,10.12,10.05,10.05,151800,10.00
2016-10-10,10.151,10.19,10.11,10.14,84300,10.089552
2016-10-07,10.20,10.20,10.10,10.16,83100,10.109452
2016-10-06,10.18,10.18,10.11,10.18,67000,10.129353
2016-10-05,10.20,10.20,10.08,10.18,100800,10.129353
2016-10-04,10.12,10.20,10.081,10.20,177400,10.149253
2016-10-03,10.13,10.15,10.09,10.15,88500,10.099502
2016-09-30,10.115,10.15,10.07,10.13,114000,10.079602
2016-09-29,10.07,10.14,10.06,10.09,100200,10.039801
2016-09-28,10.08,10.14,10.053,10.09,217700,10.039801
2016-09-27,10.06,10.08,10.02,10.08,177800,10.029851
2016-09-26,10.11,10.124,10.03,10.09,257200,10.039801
2016-09-23,10.19,10.23,10.129,10.196,86100,10.145274
2016-09-22,10.156,10.17,10.15,10.163,38500,10.112438
2016-09-21,10.147,10.17,10.12,10.16,55900,10.109452
2016-09-20,10.13,10.17,10.11,10.17,94800,10.119403
2016-09-19,10.15,10.18,10.10,10.10,26100,10.049751
2016-09-16,10.17,10.17,10.10,10.10,44400,10.049751
2016-09-15,10.142,10.17,10.12,10.17,23400,10.119403
2016-09-14,10.10,10.18,10.10,10.167,36500,10.116418
2016-09-13,10.19,10.19,10.15,10.15,37900,10.099502
2016-09-12,10.13,10.19,10.12,10.19,83700,10.139303
2016-09-09,10.13,10.13,10.10,10.10,69300,10.049751
