Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,51.860001,51.860001,50.779999,51.150002,129100,51.150002
2016-10-20,53.349998,53.43,51.950001,51.990002,142700,51.990002
2016-10-19,54.27,54.27,53.560001,53.580002,82500,53.580002
2016-10-18,55.349998,55.349998,54.009998,54.049999,121800,54.049999
2016-10-17,54.84,55.220001,54.189999,54.73,89300,54.73
2016-10-14,55.169998,55.34,54.75,54.93,99600,54.93
2016-10-13,54.459999,54.950001,54.290001,54.700001,59800,54.700001
2016-10-12,54.290001,54.970001,54.099998,54.830002,82800,54.830002
2016-10-11,54.700001,54.939999,54.009998,54.110001,94600,54.110001
2016-10-10,54.639999,55.00,54.639999,54.869999,69000,54.869999
2016-10-07,53.759998,54.549999,53.759998,54.360001,70900,54.360001
2016-10-06,54.110001,54.169998,53.459999,53.84,100400,53.84
2016-10-05,54.389999,54.799999,54.040001,54.049999,93900,54.049999
2016-10-04,54.32,54.32,53.540001,54.169998,92400,54.169998
2016-10-03,54.580002,54.580002,53.82,54.259998,169500,54.259998
2016-09-30,55.00,55.240002,54.669998,54.849998,128600,54.849998
2016-09-29,55.41,55.75,54.68,54.68,120300,54.68
2016-09-28,55.41,55.599998,54.919998,55.529999,115800,55.529999
2016-09-27,54.650002,55.439999,54.610001,55.110001,107700,55.110001
2016-09-26,55.060001,55.419998,54.790001,54.830002,96900,54.830002
2016-09-23,55.950001,56.00,55.139999,55.150002,67200,55.150002
2016-09-22,55.400002,56.110001,55.310001,56.02,129700,56.02
2016-09-21,54.32,55.279999,54.32,55.18,129700,55.18
2016-09-20,53.939999,54.310001,53.810001,54.060001,92100,54.060001
2016-09-19,53.470001,53.880001,53.450001,53.740002,75000,53.740002
2016-09-16,53.18,54.009998,52.970001,53.259998,254300,53.259998
2016-09-15,52.93,53.869999,52.790001,53.41,123700,53.41
2016-09-14,53.349998,53.529999,53.040001,53.049999,69000,53.049999
2016-09-13,53.630001,53.84,53.32,53.529999,88500,53.529999
2016-09-12,54.48,54.689999,54.07,54.639999,120900,54.02
2016-09-09,55.240002,55.240002,54.34,54.360001,143000,53.743178
2016-09-08,55.50,55.889999,54.860001,55.599998,105300,54.969106
2016-09-07,54.900002,55.709999,54.860001,55.560001,292600,54.929562
2016-09-06,54.889999,54.950001,54.509998,54.889999,106600,54.267163
2016-09-02,54.259998,54.860001,54.16,54.82,119400,54.197957
2016-09-01,54.25,54.52,53.709999,54.189999,83600,53.575105
2016-08-31,54.27,54.529999,53.860001,54.299999,86500,53.683857
2016-08-30,53.560001,54.23,53.139999,54.200001,83900,53.584994
2016-08-29,53.32,53.759998,53.029999,53.66,80800,53.05112
2016-08-26,53.099998,53.619999,52.810001,53.130001,71300,52.527135
2016-08-25,52.580002,53.119999,52.57,53.060001,60600,52.45793
2016-08-24,52.740002,52.740002,52.400002,52.700001,75200,52.102014
2016-08-23,52.93,52.93,52.509998,52.650002,82100,52.052582
2016-08-22,52.380001,52.68,52.130001,52.66,69900,52.062467
2016-08-19,52.419998,52.529999,52.209999,52.380001,80800,51.785645
2016-08-18,52.310001,52.560001,52.139999,52.540001,75400,51.94383
2016-08-17,52.59,52.84,52.00,52.220001,76900,51.627461
2016-08-16,52.599998,52.830002,52.48,52.509998,101200,51.914168
2016-08-15,52.889999,52.939999,52.48,52.66,86500,52.062467
2016-08-12,52.91,53.060001,52.630001,52.650002,111300,52.052582
2016-08-11,53.630001,53.66,53.119999,53.169998,95100,52.566678
2016-08-10,53.75,53.75,53.34,53.400002,136100,52.794072
2016-08-09,52.900002,53.790001,52.740002,53.709999,279100,53.100552
2016-08-08,52.73,52.950001,52.610001,52.740002,85100,52.141561
2016-08-05,53.00,53.00,52.57,52.639999,127300,52.042694
2016-08-04,52.889999,53.080002,52.560001,52.599998,122800,52.003147
2016-08-03,53.360001,53.380001,52.59,52.810001,203500,52.210767
2016-08-02,52.98,54.009998,52.98,53.200001,350300,52.596341
2016-08-01,54.00,55.029999,52.950001,53.32,376100,52.714978
2016-07-29,56.139999,56.139999,55.220001,55.369999,702000,54.741716
2016-07-28,55.75,56.110001,55.32,56.02,185000,55.384342
