Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,15.55,15.55,15.55,15.55,000,15.55
2016-10-20,15.55,15.55,15.55,15.55,1400,15.55
2016-10-19,15.55,15.60,15.30,15.30,1500,15.30
2016-10-18,15.10,15.60,15.10,15.20,1600,15.20
2016-10-17,15.50,15.55,15.05,15.05,5900,15.05
2016-10-14,15.52,15.52,15.52,15.52,200,15.52
2016-10-13,15.61,15.61,15.24,15.24,800,15.24
2016-10-12,15.43,15.43,15.27,15.27,400,15.27
2016-10-11,15.65,15.68,15.29,15.29,2000,15.29
2016-10-10,15.49,15.57,15.47,15.57,1700,15.57
2016-10-07,15.40,15.49,15.18,15.49,800,15.49
2016-10-06,15.45,15.51,15.35,15.35,1900,15.35
2016-10-05,15.52,15.52,15.19,15.32,9000,15.32
2016-10-04,15.24,15.53,15.24,15.53,1700,15.53
2016-10-03,15.93,15.93,15.52,15.70,2500,15.70
2016-09-30,15.62,15.70,15.35,15.70,2600,15.70
2016-09-29,15.35,15.66,15.35,15.50,1000,15.50
2016-09-28,15.68,15.68,15.43,15.43,1800,15.43
2016-09-27,15.20,15.69,15.20,15.63,2400,15.63
2016-09-26,15.65,15.65,15.46,15.60,3500,15.60
2016-09-23,15.55,15.99,15.28,15.54,10300,15.54
2016-09-22,15.78,15.90,15.30,15.55,12800,15.55
2016-09-21,15.48,16.10,15.48,15.93,2700,15.93
2016-09-20,15.38,15.75,15.38,15.51,1600,15.51
2016-09-19,15.78,16.120001,15.27,15.38,3700,15.38
2016-09-16,15.76,16.139999,15.26,15.58,96300,15.58
2016-09-15,15.62,16.360001,15.61,15.64,21000,15.64
2016-09-14,15.08,15.91,15.08,15.60,14200,15.60
2016-09-13,15.75,16.00,15.13,15.23,15300,15.23
2016-09-12,15.67,15.98,15.21,15.70,14200,15.70
2016-09-09,16.00,16.309999,15.53,15.67,12400,15.67
2016-09-08,15.95,16.299999,15.90,15.90,8800,15.90
2016-09-07,16.08,16.50,15.98,16.110001,15800,16.110001
2016-09-06,15.98,16.25,15.80,16.200001,22000,16.200001
2016-09-02,16.75,16.75,15.99,16.00,5300,16.00
2016-09-01,16.50,16.870001,16.50,16.870001,1400,16.870001
2016-08-31,16.68,16.700001,16.50,16.50,2300,16.50
2016-08-30,16.52,16.75,16.50,16.50,4000,16.50
2016-08-29,16.68,17.00,16.68,16.77,10000,16.77
2016-08-26,16.139999,16.639999,16.00,16.639999,7200,16.639999
2016-08-25,15.63,16.120001,15.50,15.94,4800,15.94
2016-08-24,15.50,15.50,15.50,15.50,500,15.50
2016-08-23,15.47,15.50,15.47,15.50,1500,15.50
2016-08-22,15.30,15.45,15.30,15.45,700,15.45
2016-08-19,15.27,15.40,15.01,15.40,2000,15.40
2016-08-18,15.25,15.41,15.25,15.41,1300,15.41
2016-08-17,15.45,15.45,15.25,15.25,1400,15.25
2016-08-16,15.78,15.80,15.62,15.68,4400,15.68
2016-08-15,16.00,16.00,15.55,15.79,3700,15.79
2016-08-12,14.99,15.56,14.99,15.21,6200,15.21
2016-08-11,14.79,15.19,14.79,15.19,6900,15.19
2016-08-10,14.60,14.75,14.57,14.75,7500,14.75
2016-08-09,14.50,14.62,14.50,14.51,2000,14.40
2016-08-08,14.50,14.65,14.50,14.50,2100,14.390076
2016-08-05,14.52,14.65,14.50,14.60,2200,14.489318
2016-08-04,14.51,14.65,14.50,14.56,3500,14.449621
2016-08-03,14.75,14.75,14.55,14.65,1500,14.538938
2016-08-02,14.55,14.74,14.50,14.68,3400,14.568711
2016-08-01,14.50,14.75,14.50,14.69,12200,14.578635
2016-07-29,14.50,14.71,14.06,14.59,31800,14.479393
2016-07-28,14.42,14.75,14.41,14.60,2900,14.489318
2016-07-27,14.48,14.77,14.04,14.60,14700,14.489318
2016-07-26,14.45,14.58,14.39,14.47,13300,14.360303
2016-07-25,14.54,14.58,14.10,14.40,10700,14.290833
2016-07-22,14.50,14.50,14.29,14.50,3300,14.390076
2016-07-21,14.22,14.44,14.22,14.35,3900,14.241213
2016-07-20,14.45,14.50,14.23,14.23,1400,14.122122
2016-07-19,14.15,14.50,14.15,14.45,5000,14.340454
2016-07-18,14.50,14.50,14.10,14.22,5000,14.112199
2016-07-15,14.02,14.50,14.02,14.31,5100,14.201516
2016-07-14,14.40,14.59,14.23,14.23,3700,14.122122
2016-07-13,14.22,14.77,14.10,14.43,3600,14.320607
2016-07-12,14.42,14.45,14.09,14.45,3100,14.340454
2016-07-11,14.37,14.62,14.35,14.45,2500,14.340454
2016-07-08,14.42,14.42,14.42,14.42,700,14.310682
2016-07-07,14.30,14.50,14.15,14.38,6000,14.270985
2016-07-06,14.45,14.49,13.79,14.05,20700,13.943487
2016-07-05,14.53,14.53,14.53,14.53,000,14.419848
2016-07-01,14.45,14.59,14.11,14.53,4500,14.419848
2016-06-30,14.44,14.60,13.86,14.16,4700,14.052653
2016-06-29,14.00,14.54,14.00,14.06,1700,13.953412
2016-06-28,14.31,14.59,14.02,14.35,2400,14.241213
2016-06-27,14.46,14.46,14.31,14.45,1400,14.340454
2016-06-24,14.10,14.58,13.86,14.49,8800,14.380151
2016-06-23,14.38,14.59,14.15,14.15,4700,14.042729
2016-06-22,14.47,14.51,14.35,14.35,6900,14.241213
2016-06-21,14.44,14.59,14.30,14.50,6800,14.390076
2016-06-20,14.49,14.58,14.00,14.29,9400,14.181668
2016-06-17,14.30,14.50,14.30,14.37,1500,14.261061
2016-06-16,14.05,14.60,13.95,14.60,10600,14.489318
2016-06-15,14.11,14.30,14.11,14.26,3200,14.151895
2016-06-14,14.08,14.30,13.87,14.25,7400,14.141971
2016-06-13,13.86,14.30,13.86,14.26,11400,14.151895
2016-06-10,14.40,14.45,14.30,14.30,1900,14.191592
2016-06-09,14.00,14.38,14.00,14.26,2200,14.151895
2016-06-08,14.33,14.33,14.07,14.23,1300,14.122122
2016-06-07,13.92,13.94,13.66,13.88,2200,13.774776
2016-06-06,14.43,14.43,13.90,14.01,2300,13.90379
2016-06-03,14.27,14.34,13.93,14.27,1800,14.16182
2016-06-02,14.15,14.24,14.11,14.11,1000,14.003032
2016-06-01,13.91,14.40,13.91,14.40,1100,14.290833
2016-05-31,13.92,14.71,13.92,14.14,1500,14.032805
2016-05-27,13.73,13.93,13.73,13.80,1700,13.695382
2016-05-26,13.86,14.27,13.50,13.83,10600,13.725155
2016-05-25,13.89,14.00,13.89,13.95,2500,13.844245
2016-05-24,13.70,13.70,13.68,13.70,2700,13.59614
2016-05-23,14.01,14.79,13.66,14.00,3100,13.893866
2016-05-20,13.74,14.42,13.74,14.42,1100,14.310682
2016-05-19,13.51,13.65,13.50,13.65,1100,13.546519
2016-05-18,14.10,14.10,13.60,13.60,2900,13.496899
2016-05-17,13.53,14.20,13.50,13.66,6800,13.447277
2016-05-16,13.50,13.65,13.50,13.65,2500,13.437433
2016-05-13,13.50,13.72,13.50,13.60,6700,13.388212
2016-05-12,13.50,13.74,13.45,13.45,8500,13.240547
2016-05-11,13.67,13.67,13.50,13.50,3300,13.289769
2016-05-10,13.40,13.53,13.40,13.50,11200,13.289769
2016-05-09,13.13,13.16,13.13,13.16,400,12.955064
2016-05-06,14.50,14.50,13.02,13.45,15500,13.240547
2016-05-05,14.60,14.77,14.50,14.50,2700,14.274196
2016-05-04,14.52,14.56,14.52,14.56,600,14.333262
2016-05-03,14.50,14.52,14.50,14.52,500,14.293885
2016-05-02,14.61,14.68,14.53,14.53,1800,14.303729
2016-04-29,14.88,14.88,14.50,14.63,2600,14.402172
2016-04-28,14.79,14.79,14.50,14.50,1100,14.274196
2016-04-27,15.00,15.00,14.41,14.64,4800,14.412016
2016-04-26,14.76,14.76,14.62,14.62,1200,14.392327
2016-04-25,14.84,14.84,14.57,14.70,2300,14.471082
2016-04-22,14.84,15.00,14.50,14.77,1800,14.539992
2016-04-21,14.78,15.00,14.55,14.71,2500,14.480926
2016-04-20,14.56,15.00,14.56,14.85,3800,14.618746
2016-04-19,14.54,14.59,14.51,14.59,1800,14.362795
2016-04-18,14.78,14.78,14.70,14.70,1800,14.471082
2016-04-15,14.99,14.99,14.69,14.70,900,14.471082
2016-04-14,14.69,14.77,14.69,14.76,700,14.530148
2016-04-13,14.66,14.69,14.66,14.69,600,14.461237
2016-04-12,14.82,14.82,14.60,14.61,1300,14.382483
2016-04-11,14.66,14.77,14.58,14.70,1500,14.471082
2016-04-08,14.52,14.55,14.52,14.55,1700,14.323418
2016-04-07,14.75,14.75,14.69,14.69,1100,14.461237
2016-04-06,14.57,14.83,14.40,14.83,2300,14.599057
2016-04-05,14.20,14.52,14.20,14.52,2000,14.293885
2016-04-04,14.45,14.49,14.45,14.45,1200,14.224975
2016-04-01,14.45,14.49,14.01,14.04,7000,13.82136
2016-03-31,14.00,14.30,13.85,13.85,3500,13.634319
2016-03-30,13.75,14.00,13.75,14.00,2700,13.781983
2016-03-29,13.70,14.00,13.50,13.75,7800,13.535876
2016-03-28,13.50,13.75,13.48,13.55,16300,13.338991
2016-03-24,13.52,13.60,13.50,13.60,2000,13.388212
2016-03-23,13.52,13.63,13.50,13.50,13400,13.289769
2016-03-22,13.52,13.63,13.52,13.63,400,13.417745
2016-03-21,13.95,14.00,13.75,13.75,5800,13.535876
2016-03-18,14.49,14.49,13.93,13.93,600,13.713073
2016-03-17,14.00,14.25,13.80,14.05,1300,13.831204
2016-03-16,13.55,14.00,13.55,14.00,4000,13.781983
2016-03-15,13.50,13.59,13.50,13.50,1800,13.289769
2016-03-14,13.50,13.63,13.50,13.63,400,13.417745
2016-03-11,13.57,13.57,13.51,13.51,800,13.299613
2016-03-10,13.69,13.69,13.53,13.67,400,13.457122
2016-03-09,13.51,13.75,13.50,13.70,4300,13.486654
2016-03-08,13.50,13.59,13.50,13.50,1100,13.289769
2016-03-07,13.25,13.65,13.25,13.51,3800,13.299613
2016-03-04,13.38,13.75,13.25,13.25,3500,13.043662
2016-03-03,13.62,13.78,13.38,13.38,1800,13.171638
2016-03-02,13.31,13.51,13.26,13.38,3700,13.171638
2016-03-01,13.36,13.45,13.20,13.32,4700,13.112572
2016-02-29,13.59,14.12,13.36,13.36,1600,13.151949
2016-02-26,14.00,14.00,13.39,13.60,2600,13.388212
2016-02-25,14.01,14.01,13.70,13.70,1200,13.486654
2016-02-24,13.69,14.59,13.42,14.23,11000,14.0084
2016-02-23,13.66,13.66,13.66,13.66,000,13.447277
2016-02-22,13.67,14.00,13.27,13.66,7600,13.447277
2016-02-19,13.89,14.00,13.53,13.53,6300,13.319302
2016-02-18,13.93,13.93,13.80,13.80,400,13.585097
2016-02-17,13.64,13.64,13.57,13.64,6300,13.427589
2016-02-16,13.45,13.94,13.45,13.48,2700,13.27008
2016-02-12,13.62,13.62,13.46,13.46,1300,13.250392
2016-02-11,13.01,13.90,13.01,13.44,4700,13.230703
2016-02-10,13.50,13.50,13.27,13.28,700,13.073195
2016-02-09,13.28,13.30,13.10,13.10,2400,12.895998
2016-02-08,13.30,13.32,13.04,13.32,1700,13.112572
2016-02-05,13.24,13.59,13.01,13.59,3000,13.378368
2016-02-04,13.25,13.44,13.20,13.44,5000,13.230703
2016-02-03,13.26,13.26,13.03,13.25,2600,13.043662
2016-02-02,13.33,13.33,13.11,13.15,3300,12.836932
