Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,18.700001,18.700001,18.530001,18.530001,300,18.530001
2016-10-20,18.73,18.73,18.57,18.57,1100,18.57
2016-10-19,18.60,18.60,18.57,18.57,500,18.57
2016-10-18,18.57,18.620001,18.57,18.59,800,18.59
2016-10-17,18.85,18.85,18.85,18.85,000,18.85
2016-10-14,18.85,18.85,18.85,18.85,500,18.85
2016-10-13,18.969999,19.00,18.60,18.60,500,18.60
2016-10-12,19.40,19.40,18.66,18.66,1800,18.66
2016-10-11,19.030001,19.48,19.00,19.00,2100,19.00
2016-10-10,19.00,19.00,19.00,19.00,200,19.00
2016-10-07,18.629999,18.629999,18.629999,18.629999,000,18.629999
2016-10-06,18.629999,18.629999,18.629999,18.629999,000,18.629999
2016-10-05,18.629999,18.629999,18.629999,18.629999,000,18.629999
2016-10-04,19.51,19.51,18.629999,18.629999,800,18.629999
2016-10-03,19.49,19.51,19.49,19.50,2400,19.50
2016-09-30,19.08,19.50,19.00,19.49,5100,19.49
2016-09-29,18.110001,19.200001,18.110001,19.16,12900,19.16
2016-09-28,18.18,18.780001,18.10,18.10,2100,18.10
2016-09-27,18.24,18.52,18.15,18.15,5100,18.15
2016-09-26,18.950001,18.950001,18.950001,18.950001,200,18.950001
2016-09-23,18.50,18.58,18.50,18.50,3300,18.50
2016-09-22,18.51,18.809999,18.50,18.66,2300,18.66
2016-09-21,18.83,18.83,18.83,18.83,600,18.83
2016-09-20,19.110001,19.110001,19.110001,19.110001,100,19.110001
2016-09-19,18.75,18.76,18.75,18.75,1200,18.75
2016-09-16,18.40,18.90,18.25,18.48,12700,18.48
2016-09-15,18.85,18.85,18.09,18.42,2200,18.42
2016-09-14,18.700001,18.91,18.700001,18.870001,1300,18.870001
2016-09-13,18.91,18.91,18.780001,18.91,900,18.91
2016-09-12,18.870001,18.959999,18.870001,18.91,1000,18.91
2016-09-09,18.780001,18.809999,18.50,18.809999,8300,18.809999
2016-09-08,18.780001,18.82,18.780001,18.809999,1100,18.809999
2016-09-07,19.00,19.00,18.82,18.82,1300,18.82
2016-09-06,18.469999,19.10,18.469999,18.99,1800,18.99
2016-09-02,18.459999,18.459999,18.459999,18.459999,000,18.459999
2016-09-01,18.780001,18.93,18.459999,18.459999,700,18.459999
2016-08-31,18.99,18.99,18.780001,18.780001,2000,18.780001
2016-08-30,18.780001,18.780001,18.780001,18.780001,000,18.780001
2016-08-29,18.799999,18.84,18.76,18.780001,800,18.780001
2016-08-26,18.76,18.82,18.75,18.77,800,18.77
2016-08-25,18.200001,18.879999,18.200001,18.65,900,18.65
2016-08-24,18.76,18.76,18.76,18.76,300,18.76
2016-08-23,18.82,18.99,18.82,18.99,2300,18.99
