Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,3.58,3.60,3.48,3.51,2234700,3.51
2016-10-20,3.71,3.73,3.51,3.58,2411300,3.58
2016-10-19,3.69,3.725,3.56,3.68,3795100,3.68
2016-10-18,3.49,3.59,3.38,3.57,3197600,3.57
2016-10-17,3.28,3.42,3.27,3.35,2019800,3.35
2016-10-14,3.27,3.39,3.22,3.25,2431200,3.25
2016-10-13,3.32,3.54,3.266,3.36,3712000,3.36
2016-10-12,3.16,3.32,3.16,3.28,2155600,3.28
2016-10-11,3.27,3.32,3.15,3.17,2611200,3.17
2016-10-10,3.28,3.35,3.24,3.33,2830500,3.33
2016-10-07,3.24,3.35,3.11,3.24,5693000,3.24
2016-10-06,3.14,3.213,3.02,3.09,5014800,3.09
2016-10-05,3.28,3.33,3.08,3.30,5524200,3.30
2016-10-04,3.48,3.48,3.19,3.22,6169000,3.22
2016-10-03,3.68,3.74,3.51,3.59,2838000,3.59
2016-09-30,3.89,3.925,3.66,3.67,3054000,3.67
2016-09-29,3.77,3.85,3.705,3.79,3570400,3.79
2016-09-28,3.54,3.81,3.44,3.81,4309500,3.81
2016-09-27,3.63,3.645,3.43,3.52,4504900,3.52
2016-09-26,3.82,3.91,3.68,3.69,2921800,3.69
2016-09-23,3.97,4.07,3.75,3.77,4607300,3.77
2016-09-22,4.20,4.25,3.97,4.02,5640400,4.02
2016-09-21,3.76,4.12,3.731,4.09,7176600,4.09
2016-09-20,3.61,3.75,3.566,3.71,3305300,3.71
2016-09-19,3.71,3.735,3.53,3.64,3740800,3.64
2016-09-16,3.67,3.78,3.51,3.65,22889400,3.65
2016-09-15,3.72,3.87,3.58,3.76,3868000,3.76
2016-09-14,3.65,3.89,3.65,3.73,4112600,3.73
2016-09-13,3.775,3.87,3.57,3.63,4186900,3.63
2016-09-12,3.48,3.90,3.43,3.85,6050500,3.85
2016-09-09,3.92,3.93,3.51,3.62,4347100,3.62
2016-09-08,4.02,4.09,3.93,3.97,2928200,3.97
2016-09-07,4.15,4.16,3.88,4.08,4249700,4.08
2016-09-06,4.04,4.15,3.90,4.14,5867400,4.14
2016-09-02,3.92,3.95,3.64,3.88,5501700,3.88
2016-09-01,3.38,3.63,3.33,3.62,5246600,3.62
2016-08-31,3.57,3.62,3.33,3.43,5627300,3.43
2016-08-30,3.82,3.89,3.521,3.67,4108200,3.67
2016-08-29,3.75,3.97,3.71,3.88,2817000,3.88
2016-08-26,4.00,4.15,3.75,3.84,6894900,3.84
2016-08-25,3.72,4.00,3.63,3.85,4762600,3.85
2016-08-24,4.22,4.24,3.64,3.72,6751300,3.72
2016-08-23,4.44,4.53,4.30,4.32,2636900,4.32
2016-08-22,4.45,4.47,4.33,4.39,2844000,4.39
2016-08-19,4.65,4.73,4.53,4.57,5237700,4.565
2016-08-18,4.53,4.81,4.51,4.79,4876500,4.784759
2016-08-17,4.42,4.59,4.37,4.50,3817800,4.495077
2016-08-16,4.44,4.51,4.38,4.51,3030800,4.505066
2016-08-15,4.36,4.51,4.34,4.40,2090300,4.395186
2016-08-12,4.35,4.53,4.33,4.36,3793000,4.35523
2016-08-11,4.44,4.44,4.28,4.30,2854900,4.295296
2016-08-10,4.45,4.46,4.29,4.42,2588500,4.415164
2016-08-09,4.32,4.37,4.29,4.34,2390200,4.335252
2016-08-08,4.24,4.42,4.22,4.32,2570400,4.315274
2016-08-05,4.28,4.45,4.18,4.28,3864900,4.275317
2016-08-04,4.46,4.57,4.37,4.51,3050600,4.505066
2016-08-03,4.55,4.57,4.275,4.39,2484100,4.385197
2016-08-02,4.61,4.65,4.50,4.50,3623600,4.495077
2016-08-01,4.50,4.55,4.35,4.45,3223500,4.445131
2016-07-29,4.36,4.50,4.32,4.44,4432900,4.435142
2016-07-28,4.38,4.40,4.055,4.25,3846900,4.24535
2016-07-27,3.99,4.38,3.90,4.28,5556100,4.275317
2016-07-26,3.78,3.95,3.75,3.91,2470100,3.905722
2016-07-25,3.87,3.88,3.58,3.69,3634400,3.685963
2016-07-22,3.90,3.98,3.85,3.90,2328900,3.895733
2016-07-21,3.75,3.99,3.74,3.96,4081300,3.955667
2016-07-20,4.12,4.16,3.73,3.74,6966400,3.735908
2016-07-19,4.43,4.51,4.35,4.39,2159200,4.385197
2016-07-18,4.53,4.62,4.44,4.49,2548700,4.485087
2016-07-15,4.57,4.67,4.525,4.59,2467200,4.584978
2016-07-14,4.46,4.69,4.45,4.64,3188600,4.634923
2016-07-13,4.54,4.75,4.45,4.72,3994300,4.714836
2016-07-12,4.69,4.80,4.42,4.43,5307100,4.425153
2016-07-11,4.68,4.92,4.62,4.76,4613200,4.754792
2016-07-08,4.34,4.71,4.28,4.70,5361300,4.694858
2016-07-07,4.59,4.59,4.225,4.36,5926800,4.35523
2016-07-06,4.60,4.74,4.48,4.63,7450200,4.624934
2016-07-05,4.26,4.43,4.07,4.41,6289000,4.405175
2016-07-01,3.95,4.14,3.91,4.12,5100600,4.115492
2016-06-30,3.80,3.85,3.694,3.85,3137700,3.845788
2016-06-29,3.71,3.85,3.66,3.78,5000500,3.775864
2016-06-28,3.58,3.68,3.49,3.62,3769400,3.616039
2016-06-27,3.71,3.80,3.51,3.67,4974500,3.665985
2016-06-24,3.76,3.82,3.45,3.61,7429800,3.60605
2016-06-23,3.41,3.54,3.339,3.44,3402400,3.436236
2016-06-22,3.30,3.44,3.29,3.44,2924900,3.436236
2016-06-21,3.35,3.43,3.26,3.35,3667500,3.346335
2016-06-20,3.13,3.50,3.11,3.48,5543900,3.476193
2016-06-17,3.42,3.48,3.16,3.32,38406500,3.316368
2016-06-16,3.72,3.765,3.26,3.36,9479800,3.356324
2016-06-15,3.15,3.56,3.14,3.45,7017100,3.446225
2016-06-14,3.23,3.359,3.08,3.18,6071300,3.176521
2016-06-13,3.10,3.27,3.06,3.19,7790200,3.18651
2016-06-10,2.84,2.95,2.80,2.95,5951700,2.946772
2016-06-09,2.70,2.83,2.67,2.81,2988000,2.806926
2016-06-08,2.65,2.74,2.62,2.71,4028700,2.707035
2016-06-07,2.49,2.58,2.42,2.52,2385200,2.517243
2016-06-06,2.43,2.51,2.40,2.50,2273700,2.497265
2016-06-03,2.39,2.46,2.33,2.43,2746300,2.427341
2016-06-02,2.19,2.27,2.14,2.21,1016100,2.207582
2016-06-01,2.26,2.29,2.12,2.21,1288900,2.207582
2016-05-31,2.11,2.32,2.09,2.23,3907700,2.22756
2016-05-27,2.34,2.35,2.19,2.21,2224500,2.207582
2016-05-26,2.40,2.44,2.335,2.39,1639100,2.387385
2016-05-25,2.25,2.37,2.15,2.34,2896800,2.33744
2016-05-24,2.51,2.53,2.28,2.29,3928500,2.287494
2016-05-23,2.54,2.63,2.48,2.55,1090300,2.54721
2016-05-20,2.60,2.64,2.47,2.58,1504900,2.577177
2016-05-19,2.39,2.59,2.37,2.57,2188900,2.567188
2016-05-18,2.69,2.74,2.53,2.54,2919200,2.537221
2016-05-17,2.67,2.78,2.61,2.73,3244800,2.727013
2016-05-16,2.64,2.71,2.58,2.63,2509300,2.627123
2016-05-13,2.56,2.61,2.51,2.56,1376800,2.557199
2016-05-12,2.61,2.62,2.48,2.53,1742800,2.527232
2016-05-11,2.57,2.63,2.46,2.59,2613400,2.587166
2016-05-10,2.36,2.48,2.35,2.48,1494400,2.477287
2016-05-09,2.46,2.47,2.352,2.37,2123200,2.367407
2016-05-06,2.44,2.62,2.424,2.54,3016000,2.537221
2016-05-05,2.43,2.48,2.34,2.40,1229000,2.397374
2016-05-04,2.51,2.60,2.28,2.33,2772000,2.327451
2016-05-03,2.52,2.64,2.467,2.55,2702200,2.54721
2016-05-02,2.63,2.64,2.52,2.56,2688000,2.557199
2016-04-29,2.62,2.66,2.54,2.60,3755700,2.597155
2016-04-28,2.43,2.60,2.42,2.54,3330200,2.537221
2016-04-27,2.45,2.46,2.39,2.44,1786300,2.43733
2016-04-26,2.40,2.45,2.33,2.43,1585500,2.427341
2016-04-25,2.37,2.40,2.32,2.35,1263800,2.347429
2016-04-22,2.34,2.45,2.28,2.34,2149000,2.33744
2016-04-21,2.49,2.49,2.34,2.34,2271200,2.33744
2016-04-20,2.48,2.52,2.31,2.35,3580400,2.347429
2016-04-19,2.41,2.52,2.37,2.47,3668100,2.467298
2016-04-18,2.39,2.41,2.29,2.31,1543400,2.307473
2016-04-15,2.31,2.42,2.27,2.35,1801200,2.347429
2016-04-14,2.30,2.38,2.19,2.29,2663800,2.287494
2016-04-13,2.41,2.47,2.311,2.34,2379200,2.33744
2016-04-12,2.50,2.52,2.36,2.45,2668300,2.447319
2016-04-11,2.42,2.51,2.40,2.45,3458000,2.447319
2016-04-08,2.10,2.347,2.06,2.30,3840400,2.297484
2016-04-07,2.01,2.10,2.00,2.08,2890500,2.077724
2016-04-06,1.95,1.99,1.91,1.99,997100,1.987823
2016-04-05,1.91,1.97,1.86,1.97,1226200,1.967845
2016-04-04,1.94,1.94,1.85,1.88,798300,1.877943
2016-04-01,1.84,1.94,1.80,1.94,1693900,1.937877
2016-03-31,1.93,1.95,1.845,1.88,1039100,1.877943
