Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,10.09,10.16,10.09,10.14,85000,10.14
2016-10-20,10.10,10.15,10.03,10.10,122500,10.10
2016-10-19,9.88,10.03,9.88,10.03,155200,10.03
2016-10-18,9.85,9.91,9.76,9.85,461700,9.85
2016-10-17,9.88,10.01,9.74,9.79,278600,9.79
2016-10-14,10.02,10.07,9.87,9.91,278600,9.91
2016-10-13,10.18,10.21,9.94,10.09,534700,10.09
2016-10-12,10.31,10.32,10.17,10.20,189500,10.20
2016-10-11,10.39,10.43,10.34,10.36,96700,10.31
2016-10-10,10.38,10.41,10.36,10.39,75700,10.339856
2016-10-07,10.44,10.45,10.34,10.38,91200,10.329904
2016-10-06,10.40,10.45,10.37,10.40,70300,10.349807
2016-10-05,10.58,10.58,10.43,10.45,143300,10.399566
2016-10-04,10.63,10.63,10.52,10.55,51300,10.499083
2016-10-03,10.65,10.67,10.59,10.63,56800,10.578697
2016-09-30,10.65,10.68,10.56,10.56,101700,10.509035
2016-09-29,10.70,10.75,10.61,10.61,76200,10.558793
2016-09-28,10.72,10.79,10.71,10.75,54700,10.698118
2016-09-27,10.67,10.71,10.65,10.69,62300,10.638407
2016-09-26,10.56,10.68,10.56,10.68,25800,10.628456
2016-09-23,10.64,10.67,10.57,10.57,79700,10.518986
2016-09-22,10.62,10.68,10.58,10.64,110100,10.588649
2016-09-21,10.52,10.59,10.47,10.57,138100,10.518986
2016-09-20,10.59,10.61,10.51,10.52,98200,10.469228
2016-09-19,10.49,10.58,10.49,10.58,42100,10.528938
2016-09-16,10.50,10.50,10.41,10.46,201300,10.409517
2016-09-15,10.54,10.60,10.47,10.52,237700,10.469228
2016-09-14,10.57,10.64,10.52,10.58,168700,10.528938
2016-09-13,10.74,10.75,10.56,10.57,99500,10.518986
2016-09-12,10.69,10.83,10.62,10.78,84400,10.678214
2016-09-09,10.81,10.81,10.67,10.67,72800,10.569253
2016-09-08,10.94,10.94,10.87,10.90,100800,10.797081
2016-09-07,10.91,10.95,10.88,10.95,77400,10.846609
2016-09-06,10.77,10.95,10.77,10.87,89900,10.767364
2016-09-02,10.83,10.83,10.75,10.81,59800,10.707931
2016-09-01,10.75,10.82,10.75,10.78,73300,10.678214
2016-08-31,10.77,10.80,10.75,10.77,64600,10.668309
2016-08-30,10.82,10.82,10.77,10.81,35400,10.707931
2016-08-29,10.80,10.82,10.77,10.82,87800,10.717836
2016-08-26,10.86,10.86,10.75,10.76,59400,10.658403
2016-08-25,10.87,10.88,10.81,10.87,82000,10.767364
2016-08-24,10.89,10.90,10.84,10.84,59700,10.737648
2016-08-23,10.94,10.95,10.87,10.88,60700,10.77727
2016-08-22,10.93,10.95,10.87,10.95,81900,10.846609
2016-08-19,10.93,10.96,10.87,10.88,75300,10.77727
2016-08-18,10.90,10.97,10.89,10.90,197200,10.797081
2016-08-17,10.90,10.90,10.82,10.90,46700,10.797081
2016-08-16,10.94,10.94,10.83,10.90,128000,10.797081
2016-08-15,10.93,10.93,10.88,10.88,49200,10.77727
2016-08-12,11.04,11.05,10.87,10.93,150600,10.826798
2016-08-11,11.08,11.08,10.99,10.99,46600,10.886231
2016-08-10,11.05,11.10,11.05,11.09,78600,10.935759
2016-08-09,10.99,11.04,10.99,11.00,28300,10.847011
2016-08-08,11.00,11.05,10.97,11.01,32000,10.856872
2016-08-05,11.08,11.08,10.97,10.98,52700,10.827289
2016-08-04,11.08,11.13,11.03,11.06,64600,10.906177
2016-08-03,11.00,11.11,10.98,11.11,43000,10.955481
2016-08-02,10.97,11.03,10.92,11.01,105000,10.856872
2016-08-01,11.05,11.08,10.96,10.99,77700,10.83715
2016-07-29,11.00,11.06,11.00,11.03,57000,10.876594
2016-07-28,11.07,11.08,10.98,11.04,54900,10.886455
2016-07-27,11.00,11.06,11.00,11.00,36400,10.847011
2016-07-26,10.99,11.05,10.97,11.03,79300,10.876594
2016-07-25,10.97,11.01,10.95,10.95,28100,10.797706
2016-07-22,10.98,11.01,10.94,10.98,30100,10.827289
2016-07-21,10.97,10.99,10.95,10.96,44100,10.807567
2016-07-20,10.97,10.97,10.91,10.97,85600,10.817429
2016-07-19,10.95,10.95,10.85,10.91,80700,10.758263
2016-07-18,10.77,10.93,10.77,10.89,99700,10.738541
2016-07-15,10.55,10.81,10.55,10.77,87600,10.62021
2016-07-14,10.80,10.84,10.55,10.55,399200,10.40327
2016-07-13,10.99,11.07,10.76,10.79,280300,10.639932
2016-07-12,11.20,11.24,11.09,11.10,136700,10.896316
2016-07-11,11.22,11.26,11.20,11.20,52800,10.99448
2016-07-08,11.21,11.26,11.18,11.26,80000,11.05338
2016-07-07,11.21,11.22,11.13,11.22,154200,11.014114
2016-07-06,11.24,11.24,11.17,11.17,118400,10.965031
2016-07-05,11.16,11.22,11.15,11.20,111300,10.99448
2016-07-01,11.13,11.16,11.09,11.15,100700,10.945398
2016-06-30,11.08,11.12,11.03,11.09,69400,10.886499
2016-06-29,11.05,11.06,10.94,11.04,101400,10.837417
2016-06-28,11.02,11.14,10.92,11.02,265700,10.817784
2016-06-27,10.97,11.08,10.93,10.98,134200,10.778517
2016-06-24,10.98,11.05,10.90,11.00,65500,10.798151
2016-06-23,10.96,10.96,10.89,10.93,54200,10.729435
2016-06-22,10.88,10.94,10.85,10.94,89700,10.739251
2016-06-21,10.83,10.87,10.82,10.87,76800,10.670536
2016-06-20,10.90,10.90,10.80,10.81,118700,10.611638
2016-06-17,10.89,10.94,10.84,10.84,76800,10.641087
2016-06-16,10.89,10.91,10.85,10.85,64600,10.650903
2016-06-15,10.90,10.93,10.84,10.85,110500,10.650903
2016-06-14,10.98,10.98,10.85,10.88,75500,10.680353
2016-06-13,10.96,10.97,10.91,10.94,41800,10.739251
2016-06-10,10.97,11.02,10.95,11.02,100700,10.768701
2016-06-09,10.93,10.97,10.89,10.97,44300,10.719841
2016-06-08,10.94,10.96,10.87,10.87,83500,10.622121
2016-06-07,10.95,10.97,10.88,10.95,68200,10.700297
2016-06-06,10.90,10.94,10.84,10.91,100800,10.661209
2016-06-03,10.86,10.86,10.76,10.85,30700,10.602578
2016-06-02,10.71,10.78,10.66,10.77,104200,10.524402
2016-06-01,10.66,10.76,10.65,10.76,82100,10.51463
2016-05-31,10.66,10.70,10.58,10.62,81000,10.377822
2016-05-27,10.75,10.75,10.65,10.67,108100,10.426682
2016-05-26,10.65,10.75,10.63,10.72,164800,10.475542
2016-05-25,10.71,10.72,10.62,10.65,207400,10.407138
2016-05-24,10.75,10.77,10.65,10.65,94900,10.407138
2016-05-23,10.75,10.78,10.69,10.69,112000,10.446226
2016-05-20,10.75,10.80,10.69,10.69,138000,10.446226
2016-05-19,10.92,10.92,10.70,10.72,182900,10.475542
2016-05-18,11.05,11.06,10.95,10.95,119800,10.700297
2016-05-17,11.01,11.06,10.98,11.03,81800,10.778473
2016-05-16,11.00,11.03,10.95,10.95,72600,10.700297
2016-05-13,10.97,11.06,10.92,11.00,161400,10.749157
2016-05-12,10.95,11.02,10.90,10.90,154000,10.651437
2016-05-11,10.93,11.04,10.89,11.00,231000,10.696389
2016-05-10,10.98,10.98,10.87,10.87,57000,10.569977
2016-05-09,10.91,11.00,10.87,11.00,95200,10.696389
2016-05-06,10.86,10.89,10.84,10.89,64100,10.589425
2016-05-05,10.81,10.89,10.81,10.86,63000,10.560253
2016-05-04,10.88,10.90,10.79,10.81,32600,10.511634
2016-05-03,10.78,10.93,10.78,10.88,116700,10.579701
2016-05-02,10.85,10.87,10.78,10.78,147300,10.482461
2016-04-29,10.77,10.79,10.72,10.78,89200,10.482461
2016-04-28,10.70,10.79,10.70,10.76,71400,10.463013
2016-04-27,10.63,10.72,10.62,10.71,233500,10.414393
2016-04-26,10.75,10.75,10.68,10.69,116300,10.394945
2016-04-25,10.77,10.80,10.70,10.71,108600,10.414393
2016-04-22,10.80,10.82,10.73,10.82,82900,10.521357
2016-04-21,10.81,10.84,10.77,10.77,97900,10.472738
2016-04-20,10.88,10.88,10.76,10.87,200400,10.569977
2016-04-19,10.94,10.94,10.82,10.82,187000,10.521357
2016-04-18,10.86,10.90,10.81,10.90,49800,10.599149
2016-04-15,10.80,10.84,10.76,10.84,45600,10.540805
2016-04-14,10.77,10.78,10.72,10.74,116200,10.443565
2016-04-13,10.80,10.80,10.70,10.73,227000,10.433841
2016-04-12,10.90,10.94,10.85,10.85,117300,10.49802
2016-04-11,10.81,10.86,10.81,10.83,70200,10.478668
2016-04-08,10.85,10.86,10.78,10.84,62200,10.488344
2016-04-07,10.77,10.83,10.76,10.80,115900,10.449642
2016-04-06,10.84,10.89,10.75,10.76,217800,10.410939
2016-04-05,10.80,10.81,10.77,10.81,28100,10.459317
2016-04-04,10.79,10.80,10.75,10.75,69000,10.401264
2016-04-01,10.78,10.91,10.71,10.74,91200,10.391588
2016-03-31,10.68,10.78,10.68,10.78,77200,10.43029
2016-03-30,10.72,10.73,10.64,10.68,63000,10.333535
2016-03-29,10.63,10.72,10.63,10.72,89200,10.372237
2016-03-28,10.66,10.67,10.62,10.62,75100,10.275481
2016-03-24,10.66,10.71,10.65,10.67,39100,10.323859
2016-03-23,10.73,10.73,10.67,10.69,66700,10.34321
2016-03-22,10.65,10.69,10.62,10.69,71600,10.34321
2016-03-21,10.57,10.64,10.56,10.64,96700,10.294832
2016-03-18,10.62,10.65,10.56,10.56,94200,10.217428
2016-03-17,10.62,10.65,10.61,10.62,35100,10.275481
2016-03-16,10.57,10.67,10.57,10.67,34900,10.323859
2016-03-15,10.60,10.63,10.57,10.58,69000,10.236778
2016-03-14,10.57,10.60,10.57,10.60,121000,10.25613
2016-03-11,10.56,10.61,10.54,10.59,62800,10.246454
2016-03-10,10.58,10.65,10.57,10.63,102400,10.232908
2016-03-09,10.57,10.61,10.57,10.60,72700,10.204029
2016-03-08,10.59,10.60,10.54,10.59,61000,10.194402
2016-03-07,10.55,10.59,10.52,10.59,77900,10.194402
2016-03-04,10.55,10.57,10.51,10.51,194100,10.117391
2016-03-03,10.54,10.63,10.52,10.58,92300,10.184776
2016-03-02,10.57,10.59,10.51,10.54,133400,10.14627
2016-03-01,10.64,10.66,10.56,10.60,101700,10.204029
2016-02-29,10.57,10.60,10.54,10.60,53800,10.204029
2016-02-26,10.59,10.59,10.51,10.53,76200,10.136643
2016-02-25,10.47,10.59,10.47,10.58,85700,10.184776
2016-02-24,10.52,10.56,10.48,10.49,65700,10.098138
2016-02-23,10.48,10.56,10.48,10.54,87700,10.14627
2016-02-22,10.52,10.52,10.44,10.46,43800,10.069259
2016-02-19,10.41,10.51,10.41,10.50,54200,10.107764
2016-02-18,10.40,10.48,10.38,10.45,77300,10.059632
2016-02-17,10.33,10.40,10.33,10.38,82800,9.992247
2016-02-16,10.41,10.41,10.31,10.33,100500,9.944115
2016-02-12,10.48,10.53,10.42,10.46,52400,10.069259
2016-02-11,10.50,10.57,10.43,10.51,135200,10.117391
2016-02-10,10.51,10.59,10.51,10.59,83300,10.142419
2016-02-09,10.49,10.53,10.49,10.52,83500,10.075378
2016-02-08,10.63,10.63,10.47,10.50,114900,10.056223
2016-02-05,10.46,10.49,10.44,10.48,68300,10.037068
2016-02-04,10.51,10.55,10.45,10.48,53300,10.037068
2016-02-03,10.42,10.58,10.38,10.55,142300,10.10411
2016-02-02,10.42,10.62,10.37,10.45,131000,10.008336
2016-02-01,10.40,10.48,10.35,10.35,173000,9.912563
2016-01-29,10.32,10.38,10.29,10.34,55000,9.902986
2016-01-28,10.22,10.32,10.22,10.32,68700,9.88383
2016-01-27,10.30,10.32,10.22,10.24,113900,9.807212
2016-01-26,10.25,10.28,10.23,10.26,133200,9.826367
2016-01-25,10.27,10.30,10.18,10.25,73000,9.816789
2016-01-22,10.32,10.34,10.27,10.30,33800,9.864676
2016-01-21,10.11,10.39,10.11,10.35,102100,9.912563
2016-01-20,10.17,10.21,10.01,10.15,131200,9.721015
2016-01-19,10.26,10.30,10.00,10.00,78500,9.577355
2016-01-15,10.28,10.31,10.21,10.26,199400,9.826367
2016-01-14,10.22,10.38,10.20,10.29,126000,9.855099
2016-01-13,10.27,10.31,10.21,10.22,147900,9.788057
2016-01-12,10.33,10.38,10.29,10.34,102900,9.851268
2016-01-11,10.40,10.43,10.34,10.34,55000,9.851268
2016-01-08,10.47,10.47,10.35,10.46,105700,9.965596
2016-01-07,10.37,10.45,10.37,10.43,63400,9.937014
2016-01-06,10.31,10.42,10.31,10.41,64800,9.917959
2016-01-05,10.34,10.39,10.30,10.30,127500,9.813158
2016-01-04,10.36,10.38,10.30,10.30,82000,9.813158
2015-12-31,10.26,10.37,10.25,10.25,103300,9.765522
2015-12-30,10.21,10.29,10.20,10.29,76900,9.803631
2015-12-29,10.32,10.32,10.17,10.22,78400,9.73694
2015-12-28,10.16,10.33,10.16,10.27,220300,9.784577
2015-12-24,10.14,10.17,10.14,10.17,37700,9.689303
2015-12-23,10.12,10.21,10.07,10.14,132000,9.660721
2015-12-22,10.10,10.23,10.07,10.14,83700,9.660721
2015-12-21,10.20,10.36,10.08,10.10,196400,9.622612
2015-12-18,10.33,10.40,10.21,10.21,144100,9.727412
2015-12-17,10.07,10.39,10.02,10.39,191300,9.898905
2015-12-16,9.97,10.09,9.95,10.06,65200,9.584503
2015-12-15,9.92,10.11,9.92,9.99,62800,9.517811
2015-12-14,10.00,10.05,9.88,9.91,203500,9.441592
2015-12-11,10.18,10.18,9.98,9.98,132500,9.508283
2015-12-10,10.15,10.27,10.08,10.17,130900,9.689303
2015-12-09,10.29,10.31,10.22,10.22,109000,9.68454
2015-12-08,10.19,10.30,10.16,10.25,84100,9.712968
2015-12-07,10.15,10.23,10.10,10.22,79300,9.68454
2015-12-04,10.09,10.15,10.09,10.15,99200,9.618207
2015-12-03,10.11,10.14,10.03,10.11,117900,9.580303
2015-12-02,10.23,10.23,10.09,10.12,112800,9.589779
2015-12-01,10.12,10.23,10.11,10.22,131400,9.68454
2015-11-30,10.02,10.12,10.02,10.09,135000,9.561351
2015-11-27,10.03,10.10,10.00,10.00,20700,9.476066
2015-11-25,10.04,10.07,9.99,10.06,84300,9.532923
2015-11-24,9.99,10.05,9.96,10.02,74100,9.495019
2015-11-23,9.95,10.04,9.92,10.01,82600,9.485543
2015-11-20,9.83,9.95,9.80,9.95,176100,9.428686
2015-11-19,9.81,9.86,9.78,9.80,64200,9.286545
2015-11-18,9.79,9.86,9.75,9.81,193600,9.296021
2015-11-17,9.82,9.90,9.80,9.81,86600,9.296021
2015-11-16,9.90,9.94,9.84,9.85,43600,9.333926
2015-11-13,9.87,9.93,9.82,9.89,49700,9.37183
2015-11-12,9.88,9.97,9.83,9.86,111400,9.343401
2015-11-11,9.91,10.02,9.85,9.92,82600,9.349087
2015-11-10,9.75,9.92,9.73,9.86,113000,9.29254
2015-11-09,9.83,9.85,9.73,9.80,87300,9.235993
2015-11-06,10.09,10.09,9.83,9.83,238100,9.264266
2015-11-05,10.10,10.17,10.09,10.14,57700,9.556426
2015-11-04,10.10,10.14,10.06,10.09,103300,9.509303
2015-11-03,10.14,10.18,10.10,10.15,58600,9.565849
2015-11-02,10.12,10.15,10.04,10.10,105800,9.518728
2015-10-30,10.14,10.14,10.01,10.04,100400,9.46218
2015-10-29,9.99,10.16,9.99,10.14,85400,9.556426
2015-10-28,10.00,10.02,9.94,9.99,93500,9.415058
2015-10-27,9.99,10.04,9.96,10.00,97700,9.424483
2015-10-26,9.94,10.01,9.93,9.99,132400,9.415058
2015-10-23,9.95,9.99,9.92,9.94,103500,9.367935
