Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,21.459999,21.639999,21.459999,21.57,56200,21.57
2016-10-20,21.860001,21.91,21.41,21.49,80100,21.49
2016-10-19,21.58,21.83,21.58,21.76,46800,21.76
2016-10-18,21.309999,21.67,21.280001,21.66,78400,21.66
2016-10-17,21.48,21.48,21.24,21.34,64400,21.34
2016-10-14,21.60,21.74,21.33,21.43,104500,21.43
2016-10-13,21.57,21.74,21.540001,21.700001,65400,21.700001
2016-10-12,21.75,21.790001,21.52,21.559999,58500,21.559999
2016-10-11,22.00,22.030001,21.870001,21.91,51500,21.802
2016-10-10,21.860001,22.030001,21.84,22.02,43300,21.911458
2016-10-07,22.049999,22.10,21.709999,21.790001,72600,21.682593
2016-10-06,22.219999,22.27,22.01,22.030001,72300,21.921409
2016-10-05,22.469999,22.469999,22.16,22.299999,35800,22.190077
2016-10-04,22.530001,22.530001,22.25,22.450001,37500,22.339339
2016-10-03,22.65,22.67,22.40,22.469999,55000,22.359239
2016-09-30,22.530001,22.690001,22.530001,22.68,57400,22.568205
2016-09-29,22.719999,22.73,22.530001,22.530001,52700,22.418945
2016-09-28,22.719999,22.879999,22.639999,22.75,49400,22.63786
2016-09-27,22.629999,22.74,22.620001,22.65,56800,22.538352
2016-09-26,22.48,22.68,22.41,22.68,51600,22.568205
2016-09-23,22.440001,22.49,22.32,22.450001,65200,22.339339
2016-09-22,22.35,22.469999,22.25,22.459999,85700,22.349288
2016-09-21,22.10,22.27,22.030001,22.25,63100,22.140324
2016-09-20,21.98,22.209999,21.940001,22.01,62500,21.901508
2016-09-19,21.799999,21.93,21.620001,21.93,46600,21.821902
2016-09-16,21.969999,21.99,21.66,21.75,85700,21.642789
2016-09-15,21.85,22.10,21.85,22.040001,77000,21.93136
2016-09-14,21.82,22.040001,21.76,21.889999,89100,21.782098
2016-09-13,22.379999,22.379999,21.719999,21.82,160100,21.712444
2016-09-12,22.40,22.50,22.35,22.49,47600,22.271673
2016-09-09,22.93,22.950001,22.440001,22.540001,117300,22.321188
2016-09-08,23.08,23.08,23.02,23.07,52100,22.846042
2016-09-07,23.120001,23.16,23.040001,23.059999,48100,22.836139
2016-09-06,22.85,23.16,22.85,23.139999,57800,22.915362
2016-09-02,22.799999,22.90,22.799999,22.879999,51400,22.657886
2016-09-01,22.690001,22.799999,22.690001,22.799999,54200,22.578663
2016-08-31,22.690001,22.799999,22.65,22.790001,86500,22.568761
2016-08-30,22.83,22.93,22.690001,22.77,96800,22.548955
2016-08-29,22.85,22.93,22.809999,22.870001,65400,22.647985
2016-08-26,22.76,22.85,22.74,22.85,48900,22.628178
2016-08-25,22.780001,22.83,22.700001,22.719999,55300,22.499439
2016-08-24,22.799999,22.85,22.75,22.799999,53500,22.578663
2016-08-23,22.68,22.799999,22.68,22.75,64200,22.529149
2016-08-22,22.73,22.75,22.639999,22.74,63300,22.519246
2016-08-19,22.74,22.74,22.610001,22.67,63900,22.449925
2016-08-18,22.73,22.83,22.690001,22.75,68400,22.529149
2016-08-17,22.65,22.780001,22.65,22.73,65400,22.509342
2016-08-16,22.870001,22.870001,22.629999,22.709999,82900,22.489536
2016-08-15,22.950001,22.99,22.82,22.83,80600,22.608372
2016-08-12,23.02,23.030001,22.940001,23.00,62700,22.776722
2016-08-11,22.99,22.99,22.889999,22.91,39400,22.687595
2016-08-10,23.01,23.07,22.950001,23.040001,69900,22.709384
2016-08-09,22.93,23.00,22.90,22.950001,40200,22.620675
2016-08-08,22.940001,22.940001,22.83,22.93,99600,22.600962
2016-08-05,22.959999,22.969999,22.799999,22.84,50700,22.512253
2016-08-04,22.870001,22.93,22.82,22.93,97300,22.600962
2016-08-03,22.620001,22.83,22.59,22.809999,106800,22.482683
2016-08-02,22.75,22.75,22.540001,22.610001,66300,22.285554
2016-08-01,22.82,22.879999,22.75,22.84,57200,22.512253
2016-07-29,22.790001,22.879999,22.75,22.860001,51500,22.531966
2016-07-28,22.73,22.809999,22.700001,22.780001,90500,22.453115
2016-07-27,22.719999,22.799999,22.690001,22.75,106400,22.423544
2016-07-26,22.74,22.74,22.629999,22.719999,45600,22.393974
