Date,Open,High,Low,Close,Volume,Adj Close
2016-10-18,21.219999,21.219999,20.99,21.09,677500,21.09
2016-10-17,21.02,21.280001,20.99,21.00,572900,21.00
2016-10-14,21.049999,21.209999,20.85,20.969999,426700,20.969999
2016-10-13,20.84,21.15,20.82,21.059999,581600,21.059999
2016-10-12,20.77,20.92,20.700001,20.879999,443300,20.879999
2016-10-11,20.629999,21.15,20.17,20.709999,837000,20.709999
2016-10-10,20.870001,21.10,20.790001,20.99,802300,20.99
2016-10-07,21.049999,21.360001,20.73,20.84,704400,20.84
2016-10-06,20.74,21.219999,20.530001,20.98,1126900,20.98
2016-10-05,21.23,21.370001,20.780001,20.82,1435000,20.82
2016-10-04,21.49,21.540001,20.93,21.23,1105000,21.23
2016-10-03,21.67,21.76,21.40,21.530001,1166600,21.530001
2016-09-30,21.98,22.120001,21.68,21.77,1158400,21.77
2016-09-29,21.870001,22.07,21.67,21.91,951300,21.91
2016-09-28,21.76,22.01,21.75,22.01,467800,22.01
2016-09-27,22.049999,22.059999,21.67,21.719999,806300,21.719999
2016-09-26,21.690001,22.10,21.65,22.02,891600,22.02
2016-09-23,21.42,21.799999,21.280001,21.77,943900,21.77
2016-09-22,20.99,21.549999,20.969999,21.48,926500,21.48
2016-09-21,20.52,20.84,20.34,20.790001,866900,20.790001
2016-09-20,20.790001,20.790001,20.51,20.52,482500,20.52
2016-09-19,20.549999,20.700001,20.530001,20.639999,637100,20.639999
2016-09-16,20.629999,20.690001,20.530001,20.530001,1314400,20.530001
2016-09-15,20.99,21.02,20.74,20.74,572300,20.74
2016-09-14,21.17,21.219999,20.98,20.98,558300,20.98
2016-09-13,21.49,21.540001,20.92,21.08,708400,21.08
2016-09-12,21.18,21.91,21.030001,21.629999,1633100,21.629999
2016-09-09,21.719999,21.780001,21.110001,21.190001,1108900,21.190001
2016-09-08,22.07,22.139999,21.940001,21.969999,682800,21.969999
2016-09-07,21.799999,22.280001,21.74,22.219999,672700,22.219999
2016-09-06,21.780001,21.860001,21.629999,21.84,417900,21.84
2016-09-02,21.73,22.00,21.700001,21.790001,427800,21.790001
2016-09-01,21.65,21.66,21.42,21.620001,518100,21.620001
2016-08-31,21.33,21.690001,21.280001,21.610001,1036200,21.610001
2016-08-30,21.40,21.43,21.23,21.40,378200,21.40
2016-08-29,21.35,21.549999,21.299999,21.35,413300,21.35
2016-08-26,21.530001,21.65,21.15,21.299999,404600,21.299999
2016-08-25,21.25,21.58,21.25,21.450001,327100,21.450001
2016-08-24,21.58,21.629999,21.24,21.33,257300,21.33
2016-08-23,21.559999,21.75,21.559999,21.67,417300,21.46
2016-08-22,21.360001,21.540001,21.280001,21.50,284400,21.291647
2016-08-19,21.379999,21.379999,21.16,21.33,463200,21.123295
2016-08-18,21.280001,21.41,21.219999,21.360001,234000,21.153005
2016-08-17,21.15,21.32,20.91,21.32,492400,21.113391
2016-08-16,21.33,21.33,21.00,21.110001,397300,20.905427
2016-08-15,21.549999,21.610001,21.299999,21.360001,590100,21.153005
2016-08-12,21.41,21.719999,21.41,21.48,308900,21.271841
2016-08-11,21.66,21.66,21.24,21.389999,353600,21.182713
2016-08-10,21.60,21.67,21.530001,21.65,342000,21.440193
2016-08-09,21.469999,21.59,21.32,21.58,450200,21.370872
2016-08-08,21.309999,21.48,21.280001,21.389999,320300,21.182713
2016-08-05,21.469999,21.49,21.280001,21.32,375000,21.113391
2016-08-04,21.68,21.709999,21.360001,21.42,386400,21.212423
2016-08-03,21.780001,21.780001,21.540001,21.629999,305800,21.420387
2016-08-02,21.940001,22.00,21.690001,21.75,315200,21.539225
2016-08-01,21.889999,21.98,21.84,21.98,299800,21.766995
2016-07-29,21.59,21.959999,21.59,21.940001,564800,21.727384
2016-07-28,21.389999,21.77,21.360001,21.629999,337900,21.420387
2016-07-27,21.51,21.52,21.26,21.40,387200,21.192616
2016-07-26,21.67,21.67,21.50,21.57,240300,21.360969
2016-07-25,21.639999,21.709999,21.58,21.610001,381100,21.400582
2016-07-22,21.60,21.76,21.58,21.629999,421400,21.420387
2016-07-21,21.49,21.610001,21.43,21.610001,382100,21.400582
2016-07-20,21.540001,21.549999,21.43,21.540001,305100,21.331261
2016-07-19,21.43,21.50,21.33,21.50,309200,21.291647
2016-07-18,21.549999,21.549999,21.360001,21.41,404100,21.202519
2016-07-15,21.379999,21.52,21.309999,21.50,842800,21.291647
2016-07-14,21.50,21.629999,21.42,21.450001,413800,21.242133
2016-07-13,21.68,21.700001,21.49,21.57,772900,21.360969
2016-07-12,21.629999,21.709999,21.530001,21.57,634300,21.360969
2016-07-11,21.59,21.74,21.459999,21.709999,417300,21.499611
2016-07-08,21.370001,21.620001,21.370001,21.57,356500,21.360969
2016-07-07,21.35,21.35,21.09,21.24,462200,21.034167
2016-07-06,21.299999,21.41,21.25,21.379999,602700,21.172809
2016-07-05,21.33,21.51,21.24,21.40,679000,21.192616
2016-07-01,21.559999,21.719999,21.33,21.360001,1239600,21.153005
2016-06-30,21.309999,21.540001,21.120001,21.540001,678900,21.331261
2016-06-29,21.120001,21.299999,21.120001,21.290001,424600,21.083683
2016-06-28,20.82,21.09,20.67,21.02,620500,20.816299
2016-06-27,20.52,20.66,20.34,20.59,394600,20.390466
2016-06-24,20.32,20.799999,20.27,20.700001,828600,20.499401
2016-06-23,20.66,20.77,20.66,20.73,362800,20.529109
2016-06-22,20.700001,20.77,20.57,20.58,671400,20.380563
2016-06-21,20.639999,20.790001,20.57,20.67,818900,20.469691
2016-06-20,20.74,20.879999,20.59,20.620001,685900,20.420176
2016-06-17,20.690001,20.76,20.52,20.60,1723700,20.400369
2016-06-16,20.66,20.73,20.549999,20.709999,429600,20.509302
2016-06-15,20.68,20.84,20.639999,20.690001,451200,20.489497
2016-06-14,20.709999,20.77,20.58,20.65,361100,20.449884
2016-06-13,20.889999,20.99,20.73,20.74,325800,20.539012
2016-06-10,20.709999,20.940001,20.709999,20.860001,419800,20.65785
2016-06-09,20.790001,20.93,20.639999,20.91,516200,20.707365
2016-06-08,20.42,20.790001,20.42,20.790001,530600,20.588529
2016-06-07,20.32,20.52,20.309999,20.42,407900,20.222114
2016-06-06,20.459999,20.559999,20.219999,20.299999,428100,20.103276
2016-06-03,20.48,20.690001,20.309999,20.43,432600,20.232017
2016-06-02,20.209999,20.32,20.07,20.299999,586800,20.103276
2016-06-01,19.950001,20.280001,19.950001,20.280001,818100,20.083471
2016-05-31,20.00,20.09,19.870001,20.049999,921200,19.855698
2016-05-27,19.73,20.00,19.73,19.959999,492300,19.76657
2016-05-26,19.719999,19.77,19.530001,19.700001,949000,19.509092
2016-05-25,19.76,19.76,19.469999,19.68,973300,19.489285
2016-05-24,19.950001,20.09,19.860001,19.91,1042500,19.509091
2016-05-23,19.82,19.889999,19.719999,19.860001,409300,19.460098
2016-05-20,19.65,19.82,19.57,19.799999,756500,19.401305
2016-05-19,19.65,19.709999,19.360001,19.559999,470700,19.166138
2016-05-18,20.15,20.24,19.629999,19.809999,819200,19.411104
2016-05-17,20.43,20.469999,20.110001,20.24,953700,19.832446
2016-05-16,20.24,20.49,20.24,20.48,622800,20.067613
2016-05-13,20.370001,20.370001,20.129999,20.290001,500500,19.88144
2016-05-12,20.290001,20.450001,20.219999,20.40,497000,19.989224
2016-05-11,20.549999,20.559999,20.190001,20.33,578900,19.920634
2016-05-10,20.92,20.92,20.49,20.58,636600,20.1656
2016-05-09,20.75,20.879999,20.700001,20.82,507900,20.400767
2016-05-06,20.40,20.74,20.34,20.719999,895500,20.30278
