Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,3.09,3.15,3.09,3.12,322200,3.12
2016-10-20,3.16,3.16,3.10,3.13,218800,3.13
2016-10-19,3.07,3.16,3.04,3.13,373000,3.13
2016-10-18,2.98,3.06,2.96,3.06,327300,3.06
2016-10-17,2.95,2.97,2.93,2.96,214200,2.96
2016-10-14,3.00,3.03,2.95,2.95,389700,2.95
2016-10-13,3.00,3.05,2.98,3.00,363700,3.00
2016-10-12,3.00,3.06,2.97,3.00,474500,3.00
2016-10-11,3.09,3.11,3.00,3.01,420700,3.01
2016-10-10,3.00,3.09,2.99,3.03,470100,3.03
2016-10-07,3.10,3.13,2.96,2.96,608500,2.96
2016-10-06,3.08,3.08,2.94,2.96,597100,2.96
2016-10-05,3.17,3.19,3.07,3.07,539000,3.07
2016-10-04,3.39,3.39,3.17,3.20,474800,3.11
2016-10-03,3.38,3.39,3.32,3.36,433200,3.2655
2016-09-30,3.27,3.38,3.24,3.38,664000,3.284938
2016-09-29,3.28,3.32,3.24,3.28,413200,3.18775
2016-09-28,3.28,3.28,3.14,3.25,611800,3.158594
2016-09-27,3.38,3.38,3.20,3.23,703200,3.139156
2016-09-26,3.37,3.40,3.35,3.37,585300,3.275219
2016-09-23,3.37,3.40,3.36,3.37,380500,3.275219
2016-09-22,3.38,3.40,3.35,3.37,600300,3.275219
2016-09-21,3.23,3.35,3.22,3.34,653900,3.246062
2016-09-20,3.15,3.23,3.14,3.22,567000,3.129438
2016-09-19,3.10,3.15,3.06,3.14,401500,3.051688
2016-09-16,2.97,3.10,2.94,3.09,989700,3.003094
2016-09-15,3.03,3.06,2.97,2.99,352000,2.905906
2016-09-14,3.06,3.08,3.01,3.04,1157300,2.9545
2016-09-13,3.01,3.08,3.01,3.06,1381900,2.973937
2016-09-12,3.03,3.11,3.00,3.05,538100,2.964219
2016-09-09,3.09,3.10,3.00,3.05,1598700,2.964219
2016-09-08,3.12,3.12,3.07,3.09,192500,3.003094
2016-09-07,3.13,3.17,3.08,3.11,337100,3.022531
2016-09-06,3.10,3.17,3.05,3.15,428300,3.061406
2016-09-02,3.04,3.11,3.04,3.09,303600,3.003094
2016-09-01,3.11,3.12,3.01,3.02,365400,2.935063
2016-08-31,3.03,3.15,3.00,3.14,809600,3.051688
2016-08-30,3.02,3.05,2.99,3.04,475500,2.9545
2016-08-29,3.02,3.06,2.98,3.01,847100,2.925344
2016-08-26,3.01,3.07,2.95,3.00,292300,2.915625
2016-08-25,3.00,3.04,3.00,3.01,159900,2.925344
2016-08-24,3.03,3.09,3.00,3.02,215300,2.935063
2016-08-23,3.04,3.12,3.04,3.05,362500,2.964219
2016-08-22,3.03,3.06,3.01,3.06,226600,2.973937
2016-08-19,3.06,3.09,3.00,3.06,310500,2.973937
2016-08-18,3.01,3.10,3.01,3.08,399700,2.993375
2016-08-17,2.95,3.03,2.93,3.03,371500,2.944781
2016-08-16,3.00,3.07,2.95,2.98,363700,2.896188
2016-08-15,3.03,3.10,3.02,3.04,275300,2.9545
2016-08-12,3.01,3.08,3.00,3.05,498300,2.964219
2016-08-11,3.05,3.07,2.88,3.00,835700,2.915625
2016-08-10,3.10,3.16,3.03,3.04,442700,2.9545
2016-08-09,3.12,3.19,3.08,3.10,481100,3.012812
2016-08-08,3.12,3.25,3.09,3.10,467600,3.012812
2016-08-05,3.18,3.26,3.08,3.15,1035900,3.061406
2016-08-04,3.19,3.28,3.19,3.22,343000,3.129438
2016-08-03,3.12,3.24,3.10,3.21,306200,3.119719
2016-08-02,3.17,3.17,3.09,3.10,318700,3.012812
2016-08-01,3.18,3.24,3.13,3.16,434400,3.071125
2016-07-29,3.29,3.29,3.17,3.17,457600,3.080844
2016-07-28,3.21,3.26,3.19,3.25,204100,3.158594
2016-07-27,3.23,3.26,3.17,3.24,271100,3.148875
2016-07-26,3.16,3.26,3.16,3.24,384600,3.148875
2016-07-25,3.19,3.19,3.15,3.17,237900,3.080844
2016-07-22,3.14,3.21,3.14,3.18,205000,3.090563
2016-07-21,3.22,3.26,3.11,3.12,341700,3.03225
2016-07-20,3.21,3.28,3.16,3.24,401500,3.148875
2016-07-19,3.21,3.22,3.15,3.19,207500,3.100281
2016-07-18,3.09,3.22,3.07,3.20,570200,3.11
2016-07-15,3.16,3.16,3.05,3.10,304900,3.012812
2016-07-14,3.20,3.22,3.12,3.13,251600,3.041969
2016-07-13,3.32,3.34,3.18,3.20,424900,3.11
2016-07-12,3.16,3.28,3.14,3.28,891600,3.18775
2016-07-11,3.08,3.17,3.06,3.15,554300,3.061406
2016-07-08,3.04,3.08,3.00,3.05,462500,2.964219
2016-07-07,3.02,3.04,2.91,3.00,592800,2.915625
2016-07-06,3.00,3.03,2.93,3.01,441200,2.925344
2016-07-05,3.15,3.20,3.06,3.11,653700,2.935062
2016-07-01,3.14,3.21,3.14,3.16,601100,2.98225
2016-06-30,3.18,3.18,3.07,3.13,460400,2.953938
2016-06-29,3.14,3.18,3.08,3.14,527600,2.963375
2016-06-28,2.98,3.10,2.95,3.09,461400,2.916187
2016-06-27,3.03,3.06,2.89,2.95,793200,2.784063
2016-06-24,3.02,3.15,3.01,3.07,864300,2.897313
2016-06-23,3.10,3.22,3.10,3.19,412600,3.010563
2016-06-22,3.15,3.15,3.05,3.05,262300,2.878438
2016-06-21,3.22,3.22,3.11,3.14,270400,2.963375
2016-06-20,3.27,3.29,3.17,3.18,347700,3.001125
2016-06-17,3.15,3.27,3.10,3.22,1537400,3.038875
2016-06-16,3.07,3.14,2.98,3.13,308700,2.953938
2016-06-15,2.99,3.15,2.97,3.09,274200,2.916187
2016-06-14,3.01,3.07,2.93,2.98,424600,2.812375
2016-06-13,3.10,3.16,3.00,3.05,397000,2.878438
2016-06-10,3.20,3.24,3.10,3.12,564300,2.9445
2016-06-09,3.22,3.28,3.17,3.26,293800,3.076625
2016-06-08,3.30,3.32,3.23,3.24,404300,3.05775
2016-06-07,3.21,3.31,3.21,3.30,450900,3.114375
2016-06-06,3.17,3.26,3.15,3.21,648400,3.029438
2016-06-03,3.39,3.39,3.12,3.17,668700,2.991688
2016-06-02,3.33,3.36,3.27,3.32,249400,3.13325
2016-06-01,3.28,3.35,3.27,3.35,478700,3.161562
2016-05-31,3.36,3.36,3.28,3.32,486400,3.13325
2016-05-27,3.29,3.36,3.26,3.32,376900,3.13325
2016-05-26,3.31,3.38,3.25,3.28,452300,3.0955
2016-05-25,3.28,3.38,3.27,3.30,801900,3.114375
2016-05-24,3.08,3.27,3.08,3.26,1712000,3.076625
2016-05-23,3.03,3.17,3.03,3.10,579700,2.925625
2016-05-20,3.02,3.05,2.97,3.03,405300,2.859563
2016-05-19,2.94,3.02,2.91,3.01,779200,2.840688
2016-05-18,3.01,3.10,2.95,2.98,413600,2.812375
2016-05-17,3.03,3.13,3.00,3.06,723500,2.887875
2016-05-16,3.00,3.10,2.99,3.07,475300,2.897313
2016-05-13,2.98,3.05,2.96,3.01,354700,2.840688
2016-05-12,3.11,3.12,2.96,2.98,668700,2.812375
2016-05-11,3.08,3.25,3.03,3.06,1082000,2.887875
2016-05-10,3.04,3.14,2.98,3.09,596900,2.916187
2016-05-09,2.92,3.10,2.85,3.05,938700,2.878438
2016-05-06,2.90,3.02,2.89,2.98,342800,2.812375
2016-05-05,3.03,3.04,2.90,2.93,477500,2.765188
2016-05-04,2.91,3.00,2.88,3.00,429800,2.83125
2016-05-03,3.05,3.06,2.84,2.92,589000,2.75575
2016-05-02,3.05,3.12,3.01,3.10,426800,2.925625
2016-04-29,3.05,3.10,2.95,3.04,691700,2.869
2016-04-28,3.14,3.19,3.03,3.03,495400,2.859563
2016-04-27,3.10,3.17,3.08,3.12,405200,2.9445
2016-04-26,2.92,3.19,2.91,3.12,1582100,2.9445
2016-04-25,2.89,2.91,2.83,2.91,493700,2.746313
2016-04-22,2.82,2.91,2.82,2.87,345400,2.708562
2016-04-21,2.89,2.93,2.81,2.85,593100,2.689687
2016-04-20,2.90,2.93,2.84,2.89,528000,2.727438
2016-04-19,2.91,2.94,2.85,2.90,521000,2.736875
2016-04-18,2.87,2.90,2.81,2.89,374600,2.727438
2016-04-15,2.85,2.92,2.83,2.86,404400,2.699125
2016-04-14,2.88,2.90,2.81,2.87,457700,2.708562
2016-04-13,2.85,2.91,2.82,2.88,536900,2.718
2016-04-12,2.83,2.92,2.78,2.86,440900,2.699125
2016-04-11,2.88,2.92,2.82,2.83,402800,2.670812
2016-04-08,2.81,2.90,2.79,2.85,487500,2.689687
2016-04-07,2.83,2.90,2.75,2.78,402900,2.623625
2016-04-06,2.81,2.86,2.73,2.85,392400,2.689687
2016-04-05,2.94,2.98,2.87,2.90,667200,2.651938
2016-04-04,3.06,3.12,2.86,2.90,931200,2.651938
2016-04-01,3.10,3.16,2.98,3.08,353100,2.81654
2016-03-31,3.07,3.15,3.03,3.14,854500,2.871408
2016-03-30,3.00,3.10,2.95,3.08,856400,2.81654
2016-03-29,2.85,3.03,2.81,2.97,737600,2.71595
2016-03-28,3.01,3.01,2.85,2.87,463300,2.624504
2016-03-24,2.83,3.04,2.77,3.01,540800,2.752528
2016-03-23,3.10,3.14,2.83,2.83,477800,2.587925
2016-03-22,3.12,3.14,3.03,3.08,293400,2.81654
2016-03-21,3.15,3.23,3.13,3.13,342000,2.862264
2016-03-18,3.08,3.14,3.00,3.13,1208700,2.862264
2016-03-17,2.91,3.08,2.84,3.05,593600,2.789107
2016-03-16,2.78,2.90,2.71,2.89,538400,2.642793
2016-03-15,2.90,2.93,2.76,2.80,573200,2.560491
2016-03-14,2.83,2.99,2.79,2.90,695100,2.651938
2016-03-11,2.75,2.86,2.67,2.83,1166400,2.587925
2016-03-10,2.81,2.83,2.67,2.70,497600,2.469045
2016-03-09,2.79,2.81,2.71,2.81,650300,2.569636
2016-03-08,2.99,2.99,2.74,2.74,643800,2.505624
2016-03-07,2.90,3.06,2.90,3.00,958200,2.743384
2016-03-04,3.06,3.14,2.90,2.92,1154100,2.670227
2016-03-03,2.89,3.10,2.89,3.01,1060400,2.752528
2016-03-02,2.74,2.96,2.74,2.89,920900,2.642793
2016-03-01,2.64,2.78,2.60,2.76,800900,2.523913
2016-02-29,2.51,2.65,2.51,2.62,825800,2.395888
2016-02-26,2.43,2.59,2.40,2.53,1220300,2.313587
2016-02-25,2.27,2.48,2.24,2.43,1051900,2.222141
2016-02-24,2.32,2.41,2.23,2.35,748000,2.148984
2016-02-23,2.37,2.46,2.34,2.37,434500,2.167273
2016-02-22,2.38,2.43,2.36,2.38,551900,2.176418
2016-02-19,2.30,2.38,2.29,2.34,542100,2.139839
