Date,Open,High,Low,Close,Volume,Adj Close
2016-10-18,3.398,3.42,3.20,3.23,40900,3.23
2016-10-17,3.43,3.44,3.35,3.35,7300,3.35
2016-10-14,3.39,3.66,3.36,3.39,24600,3.39
2016-10-13,3.30,3.47,3.21,3.35,42500,3.35
2016-10-12,3.26,3.35,3.21,3.21,10200,3.21
2016-10-11,3.32,3.38,3.26,3.27,21300,3.27
2016-10-10,3.43,3.47,3.26,3.36,50100,3.36
2016-10-07,3.50,3.549,3.37,3.39,38900,3.39
2016-10-06,3.72,3.76,3.53,3.55,30100,3.55
2016-10-05,3.753,3.85,3.73,3.76,24500,3.76
2016-10-04,3.80,3.80,3.70,3.73,18800,3.73
2016-10-03,3.88,3.90,3.77,3.81,27000,3.81
2016-09-30,3.91,3.943,3.80,3.90,32200,3.90
2016-09-29,3.80,3.95,3.75,3.89,48700,3.89
2016-09-28,3.98,3.99,3.76,3.79,93400,3.79
2016-09-27,3.96,4.05,3.93,3.96,112300,3.96
2016-09-26,3.92,4.00,3.92,3.92,176700,3.92
2016-09-23,4.00,4.00,3.96,3.97,88800,3.97
2016-09-22,4.00,4.01,3.96,3.98,76100,3.98
2016-09-21,3.96,4.02,3.92,3.96,91100,3.96
2016-09-20,4.00,4.05,3.92,3.98,169400,3.98
2016-09-19,3.97,4.03,3.90,4.00,29600,4.00
2016-09-16,4.01,4.03,3.92,3.98,390700,3.98
2016-09-15,3.84,4.04,3.84,4.00,61000,4.00
2016-09-14,3.96,3.99,3.94,3.96,35200,3.96
2016-09-13,4.01,4.05,3.95,3.96,63400,3.96
2016-09-12,3.99,4.04,3.90,4.00,95800,4.00
2016-09-09,3.92,3.98,3.86,3.86,61900,3.86
2016-09-08,4.10,4.10,3.89,3.90,582000,3.90
2016-09-07,4.04,4.05,4.016,4.04,88700,4.04
2016-09-06,3.95,4.05,3.94,4.05,121800,4.05
2016-09-02,3.96,3.97,3.86,3.90,15100,3.90
2016-09-01,4.03,4.04,3.79,3.92,65900,3.92
2016-08-31,4.00,4.04,3.93,4.00,28100,4.00
2016-08-30,4.00,4.04,3.92,4.00,11000,4.00
2016-08-29,4.02,4.05,3.96,4.04,53800,4.04
2016-08-26,4.03,4.05,3.95,3.98,12000,3.98
2016-08-25,4.02,4.04,3.93,3.98,17900,3.98
2016-08-24,4.03,4.05,4.00,4.00,28600,4.00
2016-08-23,4.06,4.07,4.02,4.07,35400,4.07
2016-08-22,3.99,4.06,3.99,4.06,38100,4.06
2016-08-19,4.02,4.05,3.92,3.97,49100,3.97
2016-08-18,4.10,4.10,3.994,4.03,14200,4.03
2016-08-17,3.99,4.06,3.90,4.03,43000,4.03
2016-08-16,3.95,4.04,3.859,3.96,32500,3.96
2016-08-15,4.08,4.08,3.79,4.00,94300,4.00
2016-08-12,4.10,4.10,3.98,4.04,85200,4.04
2016-08-11,4.12,4.12,3.963,4.07,499700,4.07
2016-08-10,3.30,4.24,3.30,4.06,690100,4.06
2016-08-09,3.15,3.26,3.00,3.00,115300,3.00
2016-08-08,3.17,3.27,3.10,3.10,125400,3.10
2016-08-05,3.18,3.36,3.15,3.19,105700,3.19
2016-08-04,3.18,3.22,3.15,3.15,31800,3.15
2016-08-03,3.00,3.18,3.00,3.17,80000,3.17
2016-08-02,3.07,3.15,3.00,3.00,146500,3.00
2016-08-01,3.32,3.32,3.10,3.12,113600,3.12
2016-07-29,3.40,3.445,3.27,3.32,34600,3.32
2016-07-28,3.31,3.46,3.31,3.42,33200,3.42
2016-07-27,3.22,3.37,3.22,3.36,80300,3.36
2016-07-26,3.29,3.30,3.20,3.26,49000,3.26
2016-07-25,3.47,3.62,3.29,3.31,101800,3.31
2016-07-22,3.60,3.60,3.51,3.54,36100,3.54
2016-07-21,3.62,3.64,3.55,3.56,32400,3.56
2016-07-20,3.62,3.64,3.595,3.62,57600,3.62
2016-07-19,3.60,3.70,3.51,3.63,59600,3.63
2016-07-18,3.76,3.79,3.62,3.64,60900,3.64
2016-07-15,3.80,3.83,3.75,3.78,32200,3.78
2016-07-14,3.85,3.89,3.76,3.80,87200,3.80
2016-07-13,3.89,3.89,3.75,3.81,52900,3.81
2016-07-12,3.78,3.89,3.78,3.86,86500,3.86
2016-07-11,3.67,3.90,3.67,3.78,57100,3.78
2016-07-08,3.88,3.90,3.50,3.67,804700,3.67
2016-07-07,3.95,3.95,3.86,3.88,72800,3.88
2016-07-06,3.95,3.95,3.91,3.95,64800,3.95
2016-07-05,3.98,3.98,3.87,3.95,62100,3.95
2016-07-01,3.87,3.94,3.84,3.94,83100,3.94
