Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,80.980003,82.059998,80.709999,81.849998,368700,81.849998
2016-10-20,81.559998,81.559998,80.599998,81.220001,498100,81.220001
2016-10-19,81.75,82.459999,81.440002,81.970001,640300,81.64
2016-10-18,83.139999,83.25,81.599998,81.779999,645200,81.450763
2016-10-17,82.769997,83.440002,81.900002,82.269997,545300,81.938788
2016-10-14,83.779999,84.230003,82.68,82.800003,389500,82.46666
2016-10-13,82.82,83.580002,81.940002,83.260002,537400,82.924808
2016-10-12,83.669998,83.919998,83.360001,83.440002,802800,83.104083
2016-10-11,84.790001,85.019997,83.300003,83.629997,647800,83.293313
2016-10-10,84.849998,85.989998,84.639999,84.690002,511400,84.349051
2016-10-07,85.459999,85.459999,84.339996,84.849998,703900,84.508403
2016-10-06,85.389999,85.900002,84.779999,85.809998,532400,85.464537
2016-10-05,86.260002,86.739998,85.800003,85.839996,491000,85.494415
2016-10-04,86.160004,86.790001,85.239998,85.779999,847400,85.434659
2016-10-03,84.589996,85.870003,84.32,85.849998,783300,85.504377
2016-09-30,85.550003,85.900002,84.68,84.699997,799800,84.359005
2016-09-29,86.410004,86.75,85.040001,85.300003,1114500,84.956596
2016-09-28,85.959999,87.080002,85.360001,86.550003,1166900,86.201563
2016-09-27,85.860001,86.660004,83.75,85.660004,3336300,85.315147
2016-09-26,81.480003,82.900002,81.239998,82.739998,1271500,82.406897
2016-09-23,81.629997,82.059998,80.529999,81.669998,653700,81.341205
2016-09-22,81.160004,82.239998,81.160004,82.040001,712800,81.709718
2016-09-21,80.25,80.839996,79.540001,80.410004,498900,80.086283
2016-09-20,80.870003,80.959999,79.330002,79.650002,535500,79.32934
2016-09-19,80.040001,81.309998,79.480003,80.190002,572600,79.867167
2016-09-16,79.68,79.879997,78.730003,79.110001,835100,78.791514
2016-09-15,78.910004,80.120003,78.669998,79.889999,419500,79.568372
2016-09-14,77.690002,78.830002,77.690002,78.809998,801600,78.492718
2016-09-13,77.690002,79.970001,76.809998,77.209999,1193400,76.899161
2016-09-12,77.160004,77.800003,75.050003,77.160004,1574900,76.849367
2016-09-09,80.93,81.309998,77.980003,77.980003,955600,77.666065
2016-09-08,82.739998,83.059998,81.660004,81.879997,561300,81.550358
2016-09-07,82.889999,83.620003,82.330002,83.040001,446000,82.705692
2016-09-06,82.360001,82.980003,81.949997,82.68,571500,82.347141
2016-09-02,81.419998,82.099998,81.110001,81.879997,273000,81.550358
2016-09-01,81.25,82.010002,80.800003,81.07,437800,80.743622
2016-08-31,81.32,81.410004,80.620003,81.150002,367000,80.823302
2016-08-30,81.550003,81.760002,81.150002,81.480003,445600,81.151975
2016-08-29,80.93,81.550003,80.440002,81.489998,514300,81.161929
2016-08-26,80.470001,81.279999,80.029999,80.239998,496800,79.916962
2016-08-25,79.849998,80.550003,79.75,80.300003,354800,79.976725
2016-08-24,80.00,80.480003,79.760002,80.019997,331100,79.697846
2016-08-23,79.760002,80.43,79.760002,80.010002,451000,79.687892
2016-08-22,79.07,79.470001,78.580002,79.459999,389500,79.140103
2016-08-19,79.199997,79.400002,77.709999,79.209999,692200,78.891109
2016-08-18,77.849998,79.910004,77.720001,79.709999,451500,79.389096
2016-08-17,77.699997,77.879997,77.169998,77.839996,309700,77.526622
2016-08-16,78.550003,78.550003,77.529999,77.580002,306500,77.267674
2016-08-15,78.00,78.82,78.00,78.720001,297900,78.403084
2016-08-12,78.00,78.25,77.739998,77.93,290000,77.616264
2016-08-11,77.25,78.220001,77.169998,78.059998,344000,77.745738
2016-08-10,76.510002,76.849998,76.230003,76.599998,354900,76.291616
2016-08-09,77.309998,77.389999,76.32,76.400002,525400,76.092425
2016-08-08,76.910004,77.18,76.589996,76.82,494000,76.510732
2016-08-05,77.480003,78.07,76.879997,76.919998,448600,76.610328
2016-08-04,75.82,77.300003,75.82,77.139999,621500,76.829443
2016-08-03,75.32,75.75,74.75,75.75,295300,75.44504
2016-08-02,76.389999,76.389999,74.940002,75.239998,680200,74.937091
2016-08-01,76.68,76.93,75.970001,76.769997,497300,76.46093
2016-07-29,76.269997,76.760002,75.93,76.540001,630500,76.23186
2016-07-28,74.790001,75.379997,74.120003,75.139999,380600,74.837495
2016-07-27,74.779999,75.199997,74.650002,75.120003,495700,74.817579
2016-07-26,74.00,74.82,73.93,74.720001,427100,74.419188
2016-07-25,74.00,74.220001,73.610001,74.029999,297300,73.731963
2016-07-22,74.00,74.160004,73.610001,74.110001,375600,73.811643
2016-07-21,73.989998,74.360001,73.589996,74.120003,433900,73.821605
2016-07-20,73.68,74.00,73.449997,73.879997,376500,73.582566
2016-07-19,73.889999,74.139999,73.440002,73.639999,483400,73.343534
2016-07-18,73.589996,74.010002,73.279999,73.970001,569100,73.672207
2016-07-15,73.769997,74.080002,73.239998,73.769997,608700,73.473008
2016-07-14,73.769997,74.00,73.160004,73.400002,587200,73.104502
2016-07-13,73.129997,73.169998,72.459999,72.82,462500,72.526835
2016-07-12,72.480003,73.190002,72.150002,73.050003,656700,72.755913
2016-07-11,71.739998,72.230003,71.400002,71.760002,752500,71.471105
2016-07-08,70.230003,71.330002,70.169998,71.190002,837700,70.9034
2016-07-07,69.510002,70.00,69.260002,69.889999,674600,69.608631
2016-07-06,67.669998,69.50,67.389999,69.379997,1141500,69.100682
2016-07-05,68.209999,68.910004,67.50,67.940002,989800,67.666484
2016-07-01,66.150002,70.870003,65.970001,69.18,2215400,68.90149
2016-06-30,63.82,64.739998,63.41,64.739998,507700,64.479363
2016-06-29,62.950001,63.73,62.50,63.599998,492900,63.343953
2016-06-28,61.139999,62.299999,61.07,62.009998,812100,61.760354
2016-06-27,61.990002,62.009998,60.049999,60.66,990900,60.41579
2016-06-24,63.360001,64.480003,62.23,62.900002,1289800,62.646774
2016-06-23,66.040001,66.459999,65.779999,66.300003,641700,66.033087
2016-06-22,64.639999,65.57,64.339996,65.269997,611400,65.007228
2016-06-21,64.540001,64.650002,64.25,64.339996,456400,64.080971
2016-06-20,64.690002,65.160004,64.150002,64.449997,699400,64.190529
2016-06-17,64.099998,64.510002,63.970001,64.00,594400,63.742344
2016-06-16,64.010002,64.690002,63.52,64.550003,379700,64.290133
2016-06-15,65.139999,65.209999,64.459999,64.57,920000,64.011257
2016-06-14,65.360001,65.550003,64.330002,64.779999,529300,64.219439
2016-06-13,66.150002,66.25,65.209999,65.239998,696400,64.675458
2016-06-10,67.550003,67.970001,66.489998,66.589996,493900,66.013774
2016-06-09,68.120003,68.519997,67.309998,67.720001,638900,67.134001
2016-06-08,68.150002,68.830002,67.720001,68.18,992800,67.590019
2016-06-07,66.739998,69.760002,66.139999,68.550003,2216700,67.95682
2016-06-06,64.449997,65.00,63.700001,64.800003,976100,64.23927
2016-06-03,64.660004,65.089996,63.650002,64.449997,603000,63.892293
2016-06-02,64.580002,64.849998,63.98,64.709999,456400,64.150045
2016-06-01,64.779999,64.949997,63.450001,64.669998,627300,64.11039
2016-05-31,64.980003,65.709999,64.50,65.00,636400,64.437537
2016-05-27,64.510002,65.07,64.510002,64.970001,261900,64.407797
2016-05-26,64.529999,64.709999,64.089996,64.43,278100,63.872469
2016-05-25,64.129997,64.739998,64.019997,64.279999,281200,63.723766
2016-05-24,63.57,64.18,63.439999,63.990002,344600,63.436278
2016-05-23,63.34,63.75,62.810001,63.240002,251600,62.692768
2016-05-20,63.049999,64.019997,62.779999,63.43,396000,62.881123
2016-05-19,63.00,63.310001,61.810001,62.709999,424800,62.167352
2016-05-18,62.799999,64.190002,62.52,63.139999,500900,62.593631
2016-05-17,64.830002,64.900002,62.639999,62.860001,763100,62.316055
2016-05-16,64.050003,65.279999,63.900002,65.209999,494200,64.645719
2016-05-13,64.830002,65.300003,63.98,64.050003,445400,63.49576
2016-05-12,64.93,65.68,64.269997,64.860001,521000,64.298749
2016-05-11,65.260002,65.43,64.379997,64.489998,473600,63.931948
2016-05-10,65.739998,66.220001,65.32,65.449997,667900,64.88364
2016-05-09,64.50,65.800003,64.360001,65.300003,845300,64.734944
2016-05-06,63.16,64.440002,63.16,64.379997,412900,63.822899
2016-05-05,62.759998,63.740002,62.369999,63.27,483400,62.722507
2016-05-04,62.799999,62.869999,61.959999,62.43,534900,61.889776
2016-05-03,64.190002,64.190002,62.849998,62.959999,555300,62.415188
2016-05-02,64.019997,64.480003,63.279999,64.410004,440500,63.852646
2016-04-29,63.619999,64.199997,63.16,64.019997,476600,63.466013
2016-04-28,64.110001,64.360001,63.549999,63.650002,302000,63.09922
2016-04-27,63.939999,64.419998,63.57,64.309998,223100,63.753505
2016-04-26,63.299999,64.279999,62.900002,64.120003,325000,63.565154
2016-04-25,63.099998,63.209999,62.700001,63.16,201600,62.613458
2016-04-22,62.77,63.66,62.759998,63.169998,289600,62.62337
2016-04-21,63.700001,63.950001,62.84,62.860001,243500,62.316055
2016-04-20,63.400002,63.810001,62.93,63.419998,303300,62.871207
2016-04-19,63.869999,64.790001,63.290001,63.369999,374900,62.82164
2016-04-18,63.27,63.869999,63.27,63.599998,239200,63.04965
2016-04-15,63.349998,63.73,63.009998,63.349998,290800,62.801813
2016-04-14,63.549999,64.129997,63.16,63.650002,382300,63.09922
2016-04-13,61.939999,63.540001,61.549999,63.330002,450900,62.781989
2016-04-12,61.009998,62.139999,60.66,61.48,310200,60.947996
2016-04-11,61.610001,61.830002,60.650002,60.66,238800,60.135092
2016-04-08,61.419998,61.599998,60.889999,61.200001,278200,60.67042
2016-04-07,61.970001,62.139999,60.50,60.790001,413000,60.263968
2016-04-06,61.98,62.349998,61.599998,62.169998,348600,61.632024
2016-04-05,61.970001,62.889999,61.610001,62.07,535900,61.53289
2016-04-04,63.650002,63.959999,62.310001,62.59,505100,62.048391
2016-04-01,63.509998,63.860001,62.669998,63.619999,481500,63.069477
2016-03-31,63.860001,64.290001,63.630001,63.77,337000,63.218181
2016-03-30,63.880001,64.139999,63.200001,63.709999,395900,63.158698
2016-03-29,61.799999,64.00,61.549999,63.619999,516500,62.772074
2016-03-28,61.889999,62.310001,61.450001,61.790001,302400,60.966466
2016-03-24,61.049999,61.66,60.68,61.619999,346600,60.79873
2016-03-23,62.200001,62.200001,61.209999,61.209999,345300,60.394195
