Date,Open,High,Low,Close,Volume,Adj Close
2016-10-18,14.81,14.81,14.16,14.19,123900,14.19
2016-10-17,14.54,14.755,14.44,14.50,97300,14.383
2016-10-14,14.54,14.72,14.44,14.48,85100,14.363161
2016-10-13,14.45,14.643,14.39,14.40,150100,14.283806
2016-10-12,14.56,14.75,14.52,14.52,131600,14.402839
2016-10-11,14.56,14.73,14.50,14.50,110300,14.383
2016-10-10,14.61,14.88,14.52,14.61,71800,14.492112
2016-10-07,14.67,14.688,14.55,14.58,46500,14.462354
2016-10-06,14.60,14.81,14.595,14.72,102400,14.601225
2016-10-05,14.86,15.00,14.62,14.65,54700,14.531789
2016-10-04,15.00,15.07,14.75,14.76,57400,14.640902
2016-10-03,14.72,15.08,14.60,15.06,85200,14.938482
2016-09-30,14.79,14.82,14.56,14.68,95300,14.561548
2016-09-29,14.62,14.78,14.55,14.56,101900,14.442516
2016-09-28,14.95,14.999,14.64,14.69,134500,14.571466
2016-09-27,14.89,15.31,14.81,14.82,406000,14.700417
2016-09-26,14.88,15.26,14.77,14.91,233700,14.789691
2016-09-23,15.07,15.26,14.81,15.06,125400,14.938482
2016-09-22,14.82,15.30,14.82,15.20,201900,15.077351
2016-09-21,14.77,15.12,14.75,14.77,122100,14.650822
2016-09-20,14.72,14.96,14.69,14.77,117400,14.650822
2016-09-19,14.85,15.17,14.57,14.69,177900,14.571466
2016-09-16,15.00,15.08,14.88,14.90,59900,14.779772
2016-09-15,14.88,15.07,14.87,14.92,60900,14.799611
2016-09-14,14.84,15.119,14.80,14.99,77000,14.75299
2016-09-13,15.08,15.08,14.77,14.77,103000,14.536469
2016-09-12,14.69,15.34,14.69,15.31,101900,15.067931
2016-09-09,14.92,15.00,14.69,14.73,79600,14.497101
2016-09-08,14.97,15.10,14.90,14.94,120900,14.70378
2016-09-07,15.09,15.229,14.96,14.96,100700,14.723464
2016-09-06,15.06,15.14,14.96,15.14,69800,14.900619
2016-09-02,15.15,15.315,14.97,15.04,79200,14.802199
2016-09-01,14.97,15.06,14.84,14.98,132400,14.743148
2016-08-31,14.89,15.00,14.74,14.92,172700,14.684097
2016-08-30,14.93,15.13,14.65,14.71,202200,14.477417
2016-08-29,15.03,15.239,14.64,14.93,141200,14.693939
2016-08-26,15.26,15.39,14.86,15.03,103600,14.792357
2016-08-25,15.37,15.37,14.92,15.16,91400,14.920302
2016-08-24,15.53,15.61,15.18,15.19,151700,14.949827
2016-08-23,15.48,15.59,15.32,15.42,136000,15.176191
2016-08-22,15.42,15.49,15.25,15.48,95000,15.235242
2016-08-19,15.33,15.44,15.291,15.37,73600,15.126982
2016-08-18,15.44,15.44,15.29,15.39,77900,15.146666
2016-08-17,15.47,15.47,15.05,15.36,131900,15.11714
2016-08-16,15.49,15.59,15.30,15.46,133500,15.100409
