Date,Open,High,Low,Close,Volume,Adj Close
2016-10-18,30.18,30.34,29.60,29.610001,122300,29.610001
2016-10-17,29.91,30.200001,29.90,30.09,82000,30.09
2016-10-14,29.92,30.10,29.870001,29.969999,66400,29.969999
2016-10-13,30.059999,30.34,29.82,29.950001,156300,29.950001
2016-10-12,30.389999,30.50,30.16,30.34,62000,30.34
2016-10-11,30.57,30.57,29.91,30.530001,133500,30.530001
2016-10-10,29.809999,30.57,29.809999,30.540001,74100,30.540001
2016-10-07,29.93,29.98,29.60,29.700001,65100,29.700001
2016-10-06,29.950001,30.10,29.60,29.790001,70600,29.790001
2016-10-05,30.01,30.16,29.82,29.98,93500,29.98
2016-10-04,30.17,30.290001,29.48,29.73,207100,29.73
2016-10-03,30.75,30.90,30.219999,30.219999,120000,30.219999
2016-09-30,30.74,30.85,30.360001,30.75,60200,30.75
2016-09-29,30.370001,30.58,30.030001,30.440001,120300,30.440001
2016-09-28,29.950001,30.52,29.51,30.35,139000,30.35
2016-09-27,30.00,30.01,29.66,29.76,74700,29.76
2016-09-26,30.60,30.860001,30.110001,30.24,97800,30.24
2016-09-23,30.690001,30.950001,30.34,30.57,112500,30.57
2016-09-22,30.549999,30.90,30.379999,30.90,132000,30.90
2016-09-21,29.43,30.10,29.43,30.00,76300,30.00
2016-09-20,29.450001,29.620001,29.33,29.360001,67600,29.360001
2016-09-19,29.50,29.60,29.33,29.49,112500,29.49
2016-09-16,28.82,29.299999,28.719999,29.190001,109300,29.190001
2016-09-15,28.83,29.299999,28.790001,28.98,104900,28.98
2016-09-14,28.73,29.389999,28.620001,28.92,101300,28.92
2016-09-13,29.940001,29.940001,28.75,28.870001,143200,28.870001
2016-09-12,30.059999,30.17,29.84,29.940001,166100,29.940001
2016-09-09,31.10,31.190001,30.32,30.41,98300,30.41
2016-09-08,31.139999,31.629999,31.10,31.43,157200,31.43
2016-09-07,30.58,31.08,30.58,31.059999,91800,31.059999
2016-09-06,30.15,30.459999,30.15,30.379999,116200,30.379999
2016-09-02,30.32,30.530001,30.139999,30.139999,183100,30.139999
2016-09-01,30.25,30.639999,30.139999,30.18,210200,30.18
2016-08-31,31.10,31.10,30.35,30.48,170400,30.48
2016-08-30,31.02,31.15,30.77,30.860001,126100,30.860001
2016-08-29,31.459999,31.459999,30.92,30.93,118500,30.93
2016-08-26,31.35,31.67,31.200001,31.459999,108900,31.459999
2016-08-25,31.110001,31.299999,31.049999,31.17,85500,31.17
2016-08-24,31.66,31.690001,31.23,31.299999,135900,31.299999
2016-08-23,31.190001,31.93,31.120001,31.84,129400,31.84
2016-08-22,31.620001,31.620001,31.059999,31.110001,190000,31.110001
2016-08-19,32.700001,32.799999,32.380001,32.470001,97000,31.815001
2016-08-18,32.77,32.93,32.549999,32.669998,138400,32.010963
2016-08-17,32.93,32.93,32.41,32.59,182700,31.932579
