Date,Open,High,Low,Close,Volume,Adj Close
2016-10-18,15.47,15.50,15.40,15.48,21300,15.48
2016-10-17,15.61,15.61,15.26,15.33,138600,15.33
2016-10-14,15.50,15.60,15.46,15.57,53100,15.57
2016-10-13,15.40,15.58,15.37,15.46,140800,15.46
2016-10-12,15.47,15.49,15.28,15.45,80600,15.45
2016-10-11,15.59,15.59,15.48,15.55,83600,15.55
2016-10-10,15.70,15.77,15.63,15.67,82800,15.514
2016-10-07,15.66,15.74,15.61,15.64,65600,15.484299
2016-10-06,15.70,15.71,15.60,15.67,56500,15.514
2016-10-05,15.71,15.80,15.68,15.71,91600,15.553602
2016-10-04,15.81,15.81,15.61,15.75,79400,15.593203
2016-10-03,15.84,15.84,15.76,15.82,44400,15.662506
2016-09-30,15.92,15.98,15.67,15.89,74900,15.73181
2016-09-29,15.79,15.87,15.74,15.79,44400,15.632805
2016-09-28,15.77,15.89,15.68,15.81,18700,15.652606
2016-09-27,15.68,15.75,15.62,15.73,39000,15.573402
2016-09-26,15.72,15.80,15.63,15.63,33700,15.474398
2016-09-23,15.72,15.77,15.68,15.74,165800,15.583303
2016-09-22,15.67,15.79,15.67,15.73,67100,15.573402
2016-09-21,15.58,15.65,15.52,15.58,48800,15.424896
2016-09-20,15.43,15.53,15.38,15.52,46200,15.365493
2016-09-19,15.42,15.46,15.38,15.41,50600,15.256588
2016-09-16,15.38,15.51,15.33,15.33,35800,15.177384
2016-09-15,15.40,15.52,15.29,15.37,40900,15.216986
2016-09-14,15.33,15.45,15.30,15.41,38300,15.256588
2016-09-13,15.57,15.63,15.25,15.37,67400,15.216986
2016-09-12,15.62,15.66,15.51,15.61,55700,15.454597
2016-09-09,15.89,15.91,15.45,15.62,118600,15.464497
2016-09-08,15.96,15.97,15.80,15.91,55800,15.75161
2016-09-07,16.10,16.10,16.049999,16.09,105100,15.775372
2016-09-06,16.00,16.09,16.00,16.08,124100,15.765567
2016-09-02,16.00,16.059999,16.00,16.049999,115100,15.736153
2016-09-01,16.01,16.01,15.90,16.00,78400,15.687132
2016-08-31,16.02,16.030001,15.93,16.00,46000,15.687132
2016-08-30,15.91,16.02,15.91,15.97,51900,15.657719
2016-08-29,15.98,16.040001,15.85,15.96,55600,15.647914
2016-08-26,15.91,16.02,15.90,15.91,43000,15.598892
2016-08-25,16.01,16.030001,15.88,15.97,35300,15.657719
2016-08-24,16.059999,16.059999,15.93,16.030001,64300,15.716546
